FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.salttv._ActivateTVServicesVTI	In:<N><T>- VTI -> Angebotsverwaltung -> Instrumententafel -> TV<N><N>Auf <Q>Activate TV user<Q> klicken	TV-Dienste in VTI aktivieren	tv/activatetvuserde	aktiv			https://qoof.salt.ch/de/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.salttv._CheckHDMIcnx	Prüfen, ob die physische HDMI-Anschluss Nummer mit der auf dem Fernsehen ausgewählte<Q>INPUT/SOURCE<Q> Typ übereinstimmt.<N>Wenn möglich,  das HDMI-Kabel wechseln.	Die HDMI-Kabelverbindung überprüfen	tv/hdmiconnection	Verbindung OK			https://youtu.be/UFBwdVRnc-E?t=270
$flow.salttv._CheckIfAppNeedsUpdate	Wenn eine Aktualisierung erforderlich ist, das Apple TV aktualisieren.<N><T>- Zu: <Q>Einstellungen - System - Softwareupdates<Q> gehen <N><T>- <Q>Software aktualisieren<Q> auswählen	Ist die Apple TV 4K-Software auf dem aktuellsten Stand?		Aktualisiert			https://support.apple.com/de-ch/guide/tv/atvb7e0a4ea5/tvos
$flow.salttv._CheckIfSaltTVNeedsUpdate	Wenn ein Update erforderlich ist, die Salt TV App aktualisieren.<N><N>Dem Kunden empfehlen, automatische App-Updates einzurichten. 	Ist die Salt TV-App auf der neuesten Version?  	tv/updatesalttv	Aktualisiert			https://qoof.salt.ch/de/customer-process/configure/manage_appletv_salttv/salttv/update_salt_tv_app
$flow.salttv._ChekSaltTVKNownBugs	Überprüfen ob eine allgemeine Salt TV Störung oder eine Störung betreffend den spezifischen Sender in Qoof veröffentlicht ist.<N>Status <Q>Open<Q> 	Gibt es derzeit eine laufende Salt TV Störung in Qoof?		Kein Störung			https://qoof.salt.ch/de/bug/services/salt_tv_known_bugs
$flow.salttv._ConnectAppleTVtoOneGhz	Dem Kunden sagen, auf der Rückseite des Routers zu überprüfen.	Sicherstellen, dass das Apple TV an den 1Ghz-Ethernetanschluss angeschlossen ist	box/lan/lan	An 1Ghz angeschlossen			
$flow.salttv._CreateAppleIDorBypass	1. SCHWEIZ als Land auswählen.<N>2. Das Apple TV mit der Fiber Box verbinden, um <Q>Zero sign in<QR> zu ermöglichen.<N>3. Den Apple-ID-Eingabeschritt überspringen.<N>4. Salt als TV-Anbieter auswählen.	Schließen Sie das Apple TV an die Fiber Box an, um Salt TV automatisch zu installieren					
$flow.salttv._CreateSOTicketSaltTV	Ein Ticket [541] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.	Automatische Ticket-Erstellung [541] in SuperOffice					
$flow.salttv._InstallSaltTV	 Im Qoof-Dokument sind <Q>YouTube<Q>-Tutorials für Kunden mit oder ohne Apple-ID verfügbar.	Die Salt Tv App herunterladen und installieren					https://qoof.salt.ch/de/customer-process/configure/manage_appletv_salttv/salttv/salttv_download_tipps_and_tricks
$flow.salttv._InstallSpeedTestAplleTV	Verfügbar im App Store auf der Seite <Q>Home<Q>. 	Die App Speedtest auf dem Apple TV herunterladen und installieren<N>Und mit dem LAN verbinden.					https://www.speedtest.net/de/apps/appletv
