FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$test							
$front._ChargeNoticePeriodAndETF	<N>ETF<N>Délai de rétractation	Appliquer frais		Créer le ticket			
$front.IsOrderFullfiled		La commande est finalisée ?					
$front.IsBoxAlreadySent		La box est envoyée ?			Non, pas encore		
$front._RefundActivationFees		Rembourser les frais d'activation					
$front._CreateTwoOneSix			Création automatique d'un ticket 2.1.6				
$front._CreateTwoOneFive		Création automatique d'un ticket 2.1.5					
$front._CreateTwoOneThirteen		Création automatique d'un ticket 2.1.13					
$front._EtfWillBeWaived		Les frais d'annulation anticipée seront annulés					
$front.HowWasOrderMade		La vente fut faite par quel biais ?		Porte à Porte ou Telesales	Autres		
$front.IsElligibleAtNewAdress	Expliquer les raisons de ces frais	A la nouvelle adresse, la fibre est disponible ?		Oui, CHF 49.95 de frais	Non, CHF 99.95 de frais		
$front.WhatTypeOfRequest		Quelle est la raison d'annulation ?		Décés	Volonté	Déménagement	
$front._RequestIsDeath	Annuler les ETF<N>Ajuster toute facture ouverte	Le contractant est décédé.				Créer le ticket 2.1.13	
