FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$test							
$flow.stability.WasREbootDone		Nous allons tester ensemble vos vitesses de connexion.<N>Començons par un reboot de la box		Reboot fait	Reboot pas fait		
$flow.stability.HasWifiDevice	Pour cette série de test il est important de tester toutes les configurations possibles	Nous allons essayer de faire les tests de débit avec un appareil WiFi, <N>en avez-vous un ?					
$flow.stability._WhatToolItOccursWith		Avec quel type d'appareil ?					
$flow.stability._WhitWhatKindOfSite		Avec quelle type de site ?		Swiss	International	Tous	
$flow.stability._AtWhatTimeDoesItOccurs		Dans quelle tranche horraire cela survient ?					
$flow.stability._WhenDidItStart		Quand cela a commencé ?					
$flow.stability._WhatIsTheSlowIssue		Quel type de souci est-ce ?		Les pages chargent lentement	Les pages ne chargent pas du tout	La vitesse est plus lente qu'avant	
$flow.stability._BadOutstandingFlows	Reboot Box<N>Suivre la séquence de LED pour voir si tout est ok ouvrir Box Admin<N>Saisir les valeurs RX/TX.	Les flux sont anormalement lents					https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#v%C3%A9rification-des-s%C3%A9quences
$flow.stability._CNXallGooodMan	Voir Qoof : <Q>Argumentaire - Perception de lenteur de la connexion Internet<Q>.	La connexion fonctionne normalement					https://qoof.salt.ch/knowledge/technical/wording_tips/wording_poor_internet_speed
$flow.stability._OpenSpeedTest	<T>- depuis l'Apple TV dans les apps<N><T>- Depuis le navigateur d'un ordi en lan : https://salt.speedtest.net<N><T>- Sur un appareil mobile en lançant l'app<N><T>- Sur un appareil mobile en lançant https://salt.speedtest.net depuis un navigateur web 	Ouvrir Speedtest sur votre appareil					https://salt.speedtest.net
$flow.stability._RedoTestAndWthOtherNTW	2,4Ghz <-> 5Ghz	Refaire les tests sur l'autre réseau WiFi					
$flow.stability._SelectSaltServer	<T>- depuis l'Apple TV dans les apps<N><T>- Depuis le navigateur d'un ordi en lan : https://salt.speedtest.net<N><T>- Sur un appareil mobile en lançant l'app<N><T>- Sur un appareil mobile en lançant https://salt.speedtest.net depuis un navigateur web <N><N>Pressez le bouton GO au centre de l'écran<N>Patientez ~30s que les<N>calculs se fassent<N>Répéter une ou deux fois<N><N>NOTER:<N><T>- <b>device<b> = Le modèle de l'appareil précis (expl iPad 5ème génération ou Huawei P9 )<N><T>- <b>downlaod<b> = La valeur DOWNLOAD<N><T>- <b>upload<b> = La valeur UPLOAD<N><N>Si vous avez fait faire le test plusieurs fois, noter une seule valeur moyenne	Sélectionner le serveur Salt	flow/stability/-SelectSaltServer				
$flow.stability.ValuesOverEighty	Les valeurs plus de 80 Mbps = la connexion fonctionne parfaitement.	Valeurs DOWNLOAD supérieur ou égales 80 Mbps ?		plus de 80 Mbps	moins de 80 Mbps		https://qoof.salt.ch/fr/customer-process/getstarted/test_internet/test_upload_and_download_speed#en-lan
$flow.stability.ValuesOverTwenty	Les valeurs plus de 20 Mbps = la connexion fonctionne parfaitement.	Valeurs DOWNLOAD supérieur ou égales à 20 Mbps?		plus de 20 Mbps	moins de 20 Mbps		https://qoof.salt.ch/fr/customer-process/getstarted/test_internet/test_upload_and_download_speed#en-wifi
$flow.stability._CreateSOTechModemSpeed	Un ticket [525] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer de ticket manuellement (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer que :<N><T>- un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la Box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>	Création automatique du ticket [525] dans SuperOffice					
$flow.stability.HasLANDevice		Vous pouvez connecter un appareil en LAN ? 					
$flow.stability.HasAppleTV	Il est préférable de faire des test d'abord avec une connexion LAN.<N>Ceci pour comparer les vitesses<N><N>Par la suite les tests sur les réseaux WiFi 2.4Ghzet 5Ghz seront faits	Quelle est votre configuration ?		Apple TV + Swiss AppleID	Pas d'Apple TV	Apple TV mais pas de Swiss AppleID 	
$flow.stability.IsAnyServiceImpactedForNormalUse	Exemples<N><T>- Arrêt du flux de streaming vidéo<N><T>- Impossibilité d'utiliser une application de réseau social<N><T>- Interruption d'appels téléphoniques<N><T>- Pages internet qui ne s'ouvrent jamais<N><T>- Etc... <N><N>Si le client n'est pas empêché d'utiliser les services normalement, <N>mais qu'il trouve que ça devrait aller plus vite (car la pub dit 10Gbs), répondre <em>NON</em>.<N>En répondant <em>OUI</em> un ticket sera crée.	Est-ce que le souci de stabilité vous empêche d'utiliser un service de façon normale ?					
