FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.lan._CreateLanIssueTicket	'- Un ticket [521] sarà generato automaticamente all'avanzamento alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua casella di posta elettronica.<N><N>Informare che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- <em>il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) durante tutta la durata del ticket.<em>'	Creazione automatica del ticket [521] in SuperOffice				Inviare	
$flow.lan._RemoveAllCablesConnectedToBox	E rifare i test	Rimuovere tutti gli altri cavi					
$flow.lan._SwapEthernetCable	E rifare i test	Provare con un altro cavo Ethernet					
$flow.lan.CanCheckWithAppleTVorOtherDevice	Se l'Apple TV è diponibile, provare con quella. Se no con un altro apparecchio via LAN.	È possibile provare con un altro apparecchio?		AppleTV o un altro apparecchio via LAN	Nessun altro apparecchio via LAN		
$flow.lan.ConnectDirectToFiberbox		Collegare l'apparecchio via LAN direttamente al box					
$flow.lan.ConnectedViaSwitch	(non direttamente sul box)	L'apparecchio è collegato tramite uno switch					
$flow.lan.LanConnectionOK		La connessione LAN funziona?					
$flow.lan._SwapEthernetPort	Provare su un'altra porta <b> 1 Ghz<b>	Provare su un'altra porta Ethernet	box/lan/lan				
$flow.wifi._ConteactDeviceSupport		Contattare il supporto tecnico dell'apparecchio					
$flow.wifi._CreateTicketWifiIssue	'- Un ticket [522] sarà generato automaticamente all'avanzamento alla fase successiva.<N>- Non crearne uno manualmente (SuperOffice).<N>- Una copia del contenuto sarà inviata alla tua casella di posta elettronica.<N><N>Informare che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- <em>il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) durante tutta la durata del ticket.<em>'	Creazione automatica del ticket [522] in SuperOffice					
$flow.wifi._ResetWifiParams	Forget WiFi sui dispositivi<N>Utilizzare il tool di supporto per i dispositivi se il cliente ha bisogno di aiuto.	Ripristinare i parametri WiFi dell'apparecchio alle impostazioni di fabbrica					https://salt.ch/device-help/
$flow.wifi._RestartDevice		Riavviare l'apparecchio					
$flow.wifi._SwitchOnUsingButton	Per X secondi	Premere il tasto sul pannello frontale	box/box-front-wlan				
$flow.wifi._SwitchOnWifiFromAdminConsole	Aprire il browser internet: digitare l'indirizzo 192.168.1.1.<N><N>Inserire il nome utente e la password (admin / admin di default).<N><N>Cambiare la vista da «Standard» a «Expert».<N><N>Andare in Vista combinata sotto WLAN.<N><N>Assicurarsi che ON appaia sotto la rete della banda connessa accanto al campo Attivare SSID.	Attivare le 2 WiFi dall'admin del Box					https://qoof.salt.ch/knowledge/technical/modem_router/turn_on_off_wifi_in_the_admin_console
$flow.wifi.CanConnectToBoxWithLAN		È possibile collegare un apparecchio via LAN?					
$flow.wifi.ErrorIconOnWifiIcon		Errore sull'icona WiFi dell'apparecchio?					
$flow.wifi.WifiButtonBroken	(quando lo si preme, non torna alla sua posizione originale)	Il tasto della WiFi è rotto?					
$flow.wifi.WifiOnInDashboard		Le 2 WiFi sono verdi nel dashboard ?	vti/WifiOnInDashboard-it				https://qoof.salt.ch/knowledge/technical/modem_router/check_in_vti_if_wifi_is_active
$flow.wifi.WiFiPasswordAccepted		La password WiFi è accettata?					https://qoof.salt.ch/customer-process/configure/admin_console/change_wifi_name_and_password
$flow.wifi.WifiVisibleByAppleTV	(Staccare prima il cavo LAN dell'Apple TV)<N><N>Apple TV -> Impostazioni -> Rete -> Wi-Fi<N>Scegliere il nome di una rete Wi-Fi compatibile per connettersi.	La WiFi è visibile dall'Apple TV ?					
$flow.wifi.WifiVisibleOnDevice		La WiFi è visibile sull'apparecchio?					
$flow.wifi._MoveCloseUnplugRepeater		Avvicinarsi al Box e assicurarsi di non essere nel raggio di un ripetitore WiFi	box/getClose				
$flow.lan.TestWithAppleTV		Testare con l'Apple TV via LAN					
$flow.wifi._ConnectWiFIToFiveGH	Aiutare il cliente a collegare il suo dispositivo alla rete WiFi 5Ghz<N>Cliccare sul link sottostante per trovare i passi da seguire a seconda del dispositivo	Si colleghi alla rete WiFi 5Ghz del Box					https://www.salt.ch/device-help/?page=topic/wifi/wifi-configuration/device
$flow.wifi._ConnectWiFIToTwoDotFourGH	Aiutare il cliente a collegare il suo dispositivo alla rete WiFi 2.4Ghz<N>Cliccare sul link sottostante per trovare i passi da seguire a seconda del dispositivo	Si colleghi alla rete WiFi 2.4Ghz del Box					https://www.salt.ch/device-help/?page=topic/wifi/wifi-configuration/device
$flow.wifi.WhyCannotConnectWithLan		Perché non può collegarsi alla LAN?		Non ha dispositivi in LAN 	La LAN non funziona		
$flow.lan._TestWithAnotherLanDevice		Provare con un altro dispositivo in LAN					
