FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN
$hello.world	Hallo zusammen!					
$flow.TutoOne	Was abgebildet<LQ>ist<RQ>:<N><T><T><T><T>Ich habe keine Internet Verbindung<C><N><T><T><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>TroubleShot stability<C><N><T>Eskalation (Recaller)<C><N><T>MiFi<C><N><T>Power Kabel<C>	Hilfe bei der Entscheidung	flow/TutoOne_fr			
$flow.TutoTwo						
$flow.activation._SendCustomerBAckToStore	Dem Kunden vorschlagen, in den Laden zurückzukehren.<N>Nicht drängen.	Die Details des Stores notieren				
$flow.activation._SOTicketOrderLost	QOOK ME : Reco from Anjelika. This should be a mail to a TL pool (including 2nd level TL)	Ein SO Ticket 'Order Lost*' erstellen				
$flow.activation._TroubleShootActivation		Den Troubleshooting-Prozess bei der Aktivierung befolgen.				
$flow.activation.ActivationDoneEnd	Aufgrund eines technischen Fehlers ist Ihre Bestellung in unseren Systemen verloren gegangen; wir werden Sie in den kommenden Stunden kontaktieren.	Ende	general/end			
$flow.activation.HaveStoreReciept		Fiber wurde in einem Store erworben.<N>Hat der Kunde den Beleg behalten?				
$flow.all.customer._SendMail		Eine E-Mail senden				
$flow.all.fiberbox._ResetFiberBox	(Die Box zurücksetzen (Reset))	Die Fiber Box auf die Werkseinstellungen zurücksetzen.	box/box_reset			
$flow.all.vti._AddMemoVti		Ein Memo in VTI hinzufügen				
$flow.collection._ExplainReasons		Die Gründe erklären				
$flow.collection._InformUsualPaymentDelays	Je nach gewählter Methode<N>kann es bis zu 5 Tage dauern, bis die Zahlungen eintreffen.	Den Kunden über die üblichen Verzögerungen informieren.				
$flow.collection._OneHourAfterMoneyRecivedUnblocked		Die Dienste werden eine Stunde nach Zahlungseingang entsperrt.				
$flow.collection._Pay		Der Kunde muss den überfälligen Betrag bezahlen.				
$flow.collection._PaymentSearch		Eine Zahlungssuche starten				
$flow.collection._SoTicketTreeTwoOne	NICHTS VERSPRECHEN!	Ein Ticket 321 erstellen				
$flow.collection._VerifyCollectionStep	In :<N>- VTI<N>- CC Dashboard	Die Mahnprozess-Schritte und Gründe überprüfen.				
$flow.collection._YouWillBeInformed	Wir werden Sie in Kürze kontaktieren, um Sie über das Ergebnis zu informieren!	Den Kunden informieren.				
$flow.collection.IsBillChallenged	Oder auch die Mahngebühren?	Bestreitet der Kunde die Rechnung?				
$flow.collection.IsPaymentOneHourOldVisible		Ist eine Zahlung, die älter als eine Stunde ist, in VTI sichtbar?				
$flow.collection.IsSaltMistake		Ist dies ein Fehler, der von Salt verursacht wurde?				
$flow.collection.IsTechnicalReasons		Wurde die Zahlung aufgrund technischer Probleme nicht geleistet?				
$flow.collection.ManuallyUnblock		TV-Dienste manuell entsperren				
$flow.collection.MoreThanFiveDaysAgo		Vor mehr als 5 Tagen?				
$flow.collection.PayedAlready		Der Kunde behauptet, schon bezahlt zu haben?				
