FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN
$hello.world	Hello everyone!					
$flow.TutoOne	This is <LQ>mapped<RQ>:<N><T><T><T><T>I don't have Internet<C><N><T><T><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>TroubleShoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Decision support	flow/TutoOne_fr			
$flow.TutoTwo						
$flow.activation._SendCustomerBAckToStore	Suggest to the customer to return to the store.<N>Do not insist.	Write down the Store's contact details				
$flow.activation._SOTicketOrderLost	QOOK ME : Reco from Anjelika. This should be a mail to a TL pool (including 2nd level TL)	Create a SO 'Order Lost*' Ticket				
$flow.activation._TroubleShootActivation		Follow the activation troubleshooting process				
$flow.activation.ActivationDoneEnd	Due to a technical error, your order has been lost in our systems; we will contact you in the following hours.	End	general/end			
$flow.activation.HaveStoreReciept		Fiber was purchased in a Store.<N>Did the customer keep the receipt?				
$flow.all.customer._SendMail		Send an email				
$flow.all.fiberbox._ResetFiberBox	(reset box)	Reset the Fiber Box to factory settings	box/box_reset			
$flow.all.vti._AddMemoVti		Add a memo in VTI				
$flow.collection._ExplainReasons		Explain the reasons				
$flow.collection._InformUsualPaymentDelays	Depending on the chosen method<N>it may take up to 5 days for payments to arrive.	Inform the customer about the usual delays				
$flow.collection._OneHourAfterMoneyRecivedUnblocked		Services will be unblocked one hour after receipt of payment.				
$flow.collection._Pay		The customer must pay the overdue amount.				
$flow.collection._PaymentSearch		Start a payment search				
$flow.collection._SoTicketTreeTwoOne	DON'T PROMISE ANYTHING!	Create a ticket 321				
$flow.collection._VerifyCollectionStep	In :<N>- VTI<N>- CC Dashboard	Check the collection steps and reasons				
$flow.collection._YouWillBeInformed	We will contact you soon to inform you of the outcome!	Inform the customer.				
$flow.collection.IsBillChallenged	Or also the reminder fees?	Does the customer dispute the invoice?				
