FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN
$hello.world	Buongiorno a tutti!					
$flow.TutoOne	Ciò che è <LQ>mappato<RQ>:<N><T><T><T><T>Non ho internet<C><N><T><T><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Sawp Fiber cable<C><N><T>Collection path<C><N><T>Activtion issue<C><N><T>Trouble soot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Aiuto alla decisione	flow/TutoOne_fr			
$flow.TutoTwo						
$flow.activation._SendCustomerBAckToStore	Proporre al cliente di ritornare al negozio.<N> Non insistere.	Annotare le coordinate dello Store				
$flow.activation._SOTicketOrderLost	QOOK ME : Reco from Anjelika. This should be a mail to a TL pool (including 2nd level TL)	Crare un Ticket SO Order Lost*				
$flow.activation._TroubleShootActivation		Seguire la procedura di troubleshooting d'attivazione				
$flow.activation.ActivationDoneEnd	A causa di un problema tecnico, la sua richiesta è andata persa nei nostri sistemi. La contatteremo nelle prossime ore.	Fine	general/end			
$flow.activation.HaveStoreReciept		Fiber è stato sottoscritto in uno Store.<N>Il cliente ha tenuto lo scontrino?				
$flow.all.customer._SendMail		Inviare un e-mail				
$flow.all.fiberbox._ResetFiberBox	(reset box)	Ripristinare il Fiber Box alle impostazioni di fabbrica	box/box_reset			
$flow.all.vti._AddMemoVti		Aggiungere un memo in VTI				
$flow.collection._ExplainReasons		Spiegare i motivi				
$flow.collection._InformUsualPaymentDelays	Secondo il metodo scelto<N> i pagamenti possono impiegare 5 giorni ad arrivare.	Informare il cliente sulle scadenze usuali				
$flow.collection._OneHourAfterMoneyRecivedUnblocked		I servizi saranno sbloccati un'ora dopo la ricezione del pagamento.				
$flow.collection._Pay		Il cliente deve pagare gli importi in sospeso.				
$flow.collection._PaymentSearch		Lanciare una ricerca di pagamento				
$flow.collection._SoTicketTreeTwoOne	NON PROMETTERE NIENTE!	Creare un Ticket 321				
$flow.collection._VerifyCollectionStep	In:<N>- VTI<N>- CC Dashboard	Verificare a che punto è la collection e i motivi				
$flow.collection._YouWillBeInformed	La contattaremo presto per informarla del risultato!	Informare il cliente.				
$flow.collection.IsBillChallenged	O anche i costi di chiamata?	Il cliente mette in discussione la fattura?				
$flow.collection.IsPaymentOneHourOldVisible		Un pagamento più vecchio di un'ora è visibile in VTI?				
$flow.collection.IsSaltMistake		Si tratta di un errore di Salt?				
$flow.collection.IsTechnicalReasons		Il pagamento non ha potuto essere eseguito per ragioni tecniche?				
$flow.collection.ManuallyUnblock		Sblocco manuale dei servizi TV				
$flow.collection.MoreThanFiveDaysAgo		Più di cinque giorni fa?				
$flow.collection.PayedAlready		Il cliente dice di avere già pagato?				
$flow.escalation._AddMemoOne	<T>- Dettagli per elaborare il caso<N>dati di contatto	Aggiungere il memo 1				
$flow.escalation._AddMemoTwo	Correggere i dettagli se necessario in VTI.	Aggiungere il memo 2 con l'ID del ticket				
$flow.escalation._EmailTLtech		E-mail PEDRO				
$flow.escalation._EscalateTicket	216 verso 622<N>215 verso 623 <N>511 verso 611<N>413 verso 612<N>414 verso 613<N>416 verso 621	Escalate				
$flow.escalation._InformTicketIsBeingTreated	Lo contatteremo a breve.	Informare il cliente che il suo ticket è in elaborazione.				
$flow.escalation._InformUpmostPrio	Sarà contattato entro 48 ore	Informare il cliente che il ticket sarà trattato con priorità.				
$flow.escalation._SolveCustomerIssue		Risolvere il problema del cliente				
$flow.escalation._VerifyContactDetails		Verificare i dati del cliente e chiederne conferma				
$flow.escalation.IsCustomerRecaller		Il cliente chiama per lo stesso problema?				
$flow.escalation.IsMoveOrTermTicket		Si tratta di un ticket trasloco 215 o disdetta 216 ?				
$flow.escalation.IsOrderTicket		Si tratta di un ticket ordine 413, 414, 416 o 511 ?				
$flow.escalation.IsTechTicket		Si tratta di un ticket 521, 523 o 524 ?				
$flow.escalation.LessThanFifteenDaysUntilSwitchDate		Lo switch date è tra meno di 15 giorni?				
$flow.escalation.TicketOlderThanSixDays		Il ticket risale a 6 giorni fa o più?				
$flow.lan._CreateLanIssueTicket		Creare un ticket LAN ISSUE				
$flow.lan._RemoveAllCablesConnectedToBox	E rifare i test	Rimuovere tutti gli altri cavi				
$flow.lan._SwapEthernetCable	E rifare i test	Provare con un altro cavo Ethernet				
$flow.lan.CanCheckWithAppleTVorOtherDevice	Se l'AppleTV è diponibile, provare con quella. Se no con un altro apparecchio via LAN.	È possibile provare con un altro apparecchio?				
$flow.lan.ConnectDirectToFiberbox		Collegare l'apparecchio via LAN direttamente sul Box				
$flow.lan.ConnectedViaSwitch	(non direttamente sul box)	L'apparecchio è collegato tramite uno switch				
$flow.lan.LanConnectionOK		La connessione LAN funziona?				
$flow.nointernet.customer._ProposeMifi	Assicurarsi che il cliente non abbia altri modi per connettersi a internet<T>(Ad es. inutile proporgli se ha un abbonamento Salt mobile Swiss o superiore)	Proporre un MiFi				
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire al cliente che funziona tutto correttamente con la connessione in fibra ottica				
$flow.nointernet.customer.ConnectionType	LAN o WiFi	Su cosa è collegato l'apparecchio del cliente?		LAN	WiFi	
