FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Hallo zusammen! 						
$flow.TutoOne	Was <LQ>abgebildet<RQ> ist:<N><T>Ich habe keine Internet Verbindung<C><N><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>TroubleShot stability<C><N><T>Eskalation (Recaller)<C><N><T>MiFi<C><N><T>Power Kabel<C>	Hilfe bei der Entscheidung					
$flow.TutoTwo							
$flow.all.customer._SendTechMail	Die Erstellung des Tickets über die folgende S.O. Vorlage bestätigen:<N><T>4.Salt Fiber -> 3.Salt Fiber Technical -> 4.Acknowledgement -> 03.Technical cases Open Front - correspondence.	Eine E-Mail senden					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Drücken Sie den Reset-Button auf der Rückseite Ihrer Salt Fiber Box mit einer Büroklammer oder einem spitzen Gegenstand.<N><N>Halten Sie den Button X Sekunden lang gedrückt.<N><N>Falls die Router-Einstellungen geändert wurden, müssen sie in der Verwaltungskonsole neu definiert werden.<N><N>Die Synchronisationsphase ist abgeschlossen, wenn die LEDs FIBER, WWW und WLAN wieder leuchten und nicht mehr blinken.	Die Fiber Box auf die Werkseinstellungen zurücksetzen	box/box-reset	Zurücksetzen erflogt 	fehlgeschlagen		https://qoof.salt.ch/de/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow.all.vti._AddMemoVti		Eine Notiz in VTI hinzufügen	vti/addnotede				
$flow.End	Click >> to start a new trouble shooting session	End	general/end				
$flow.TutoTree	Die Prozedur befolgen :<N><T>- entweder durch Anklicken der Schaltflächen,<N><T>- oder mit der Tastatur (wie auf dem Bild nebenan)<N><N>Auf einigen Seiten befindet sich das folgende Symbol, unter dem detaillierte Anleitungen zu finden sind:<N><T>- Qoof-Seiten<N><T>- YouTube-Videos<N><T>- andere Webseiten<N><T>- usw. ...	Allgemeine Anleitungen	ui/tutoKeyboardDE				https://qoof.salt.ch
$flow.Intro	Der Kunde kontaktiert uns und beschwert sich, dass:<N><T>- er keine Verbindung zum Internet herstellen kann (<em>z.B. Sicherstellen, dass der Kunde die Box bei sich zu Hause hat<em>),<N><T>- er Probleme beim Fernsehen hat, <N><T>- er sein Material (Fiber Box) nicht erhalten hat.	Ich habe ein Problem mit meinem Salt Produkt…<N>TV / Material-Lieferung / Internetverbindung	customer/When-It-Doesnt-Work	Internet funktioniert nicht	TV funktioniert nicht richtig	Fiber Box nicht erhalten	
$flow.all.customer.IsSlowOrKaput		Ist das Internet nur langsam?		Ja, nur langsam	Funktioniert gar nicht	Eher mit Unterbrechungen	
