FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.escalation._AddMemoOne	<T>- Detail zur Bearbeitung des Falles<N>Kontaktangaben	Eine Notiz in VTI hinzufügen, wenn der Kunde ein Recaller ist	vti/addnotede				
$flow.escalation._AddMemoTwo	Bei Bedarf die Angaben in VTI korrigieren.	Letzte VTI Notiz	vti/addnote2de				https://qoof.salt.ch/de/knowledge/admin/contract/edit_customer_data_in_vti
$flow.escalation._EmailTLtech		Das Ticket an Pedro neu zuweisen					
$flow.escalation._EscalateTicket	Wrong OTO connected in 1.Wrong OTO[6.1.1]<N><N>Plug in Use info in 2.Plug in Use [6.1.2]<N><N>OTO Given by customer in 3.Delegate [6.1.3]<N><N>Order Status check request in 1.Order Status check request [6.2.1]<N><N>Umzugs in 2.Move (eligible address) [6.2.2]<N><N>Termination (kündigung) in 3.Kündigung (Termination)[6.2.3]<N><N>Nachfragen, ob: <N><T>- die Kontaktangaben (Handynummer, E-Mail-Adresse) korrekt sind,<N><T>- der Kunde die Kontaktaufnahme per Telefon, SMS, E-Mail, WhatsApp oder einem anderen Kanal bevorzugt.<N><N>Informieren, dass: <N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten. <N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.	Eskalieren	so/escalate/tab-de				https://qoof.salt.ch/de/knowledge/admin/rules/recaller_handling
$flow.escalation._InformTicketIsBeingTreated	Wir werden ihn in Kürze kontaktieren.	Den Kunden informieren, dass sein Ticket in Bearbeitung ist					
$flow.escalation._InformUpmostPrio	Er wird innerhalb von 48 Stunden kontaktiert.<N><N><N>Nachfragen, ob: <N><T>- die Kontaktangaben (Handynummer, E-Mail-Adresse) korrekt sind,<N><T>- der Kunde die Kontaktaufnahme per Telefon, SMS, E-Mail, WhatsApp oder einem anderen Kanal bevorzugt.<N><N>Informieren, dass: <N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten. <N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.	Den Kunden informieren, dass das Ticket mit Priorität bearbeitet wird					
$flow.escalation._SolveCustomerIssue		Das Problem des Kunden lösen					
$flow.escalation._VerifyContactDetails	VTI -> Informationen zum Auftragnehmer -> Angebot: Salt Fiber<N><N>Auch in Kundenereignis-Protokolle überprüfen, ob der Kunde keine anderen Kontaktinformationen mitgeteilt hat.	Die Kontaktangaben des Kunden überprüfen und bestätigen lassen	vti/checkcontactdetailsde				
$flow.escalation.IsCustomerRecaller	In S.O. (Wrap up, Cases, Email) et dans VTI -> Vie du client. 	Ruft der Kunde wegen des gleichen Problems an?	so/checkifrecallerfr				
$flow.escalation.IsMoveOrTermTicket	5. Umzugs- [215]<N>oder>N> 6. Kündigungsticket [216]?	Handelt es sich um ein bestehendes 5. Umzugs- [215] oder  6. Kündigungsticket [216]?		Kündigung oder Umzug	Anderes		
$flow.escalation.IsOrderTicket	3.Plug in Use info [413]<N>4.OTO Given by customer [414]<N>6.Order Status check request [416]<N>oder<N>1.OTO - Wrong OTO connected [511]?	Handelt es sich um ein bestehendes Ticket zur Bestellung [413], [414], [416], [511]?		Bestellung	Anderes		
$flow.escalation.IsTechTicket	1.Modem Connection [5.2.1]<N>3.Box Swap (under condition) [5.2.3]<N>oder<N>4.WWW-LED leuchtet nicht [5.2.4]	Handelt es sich um ein bestehendes [521], [523] oder [524] technisches Ticket?		Technisches 	Anderes		
$flow.escalation.LessThanFifteenDaysUntilSwitchDate		Ist das Switch-Date in weniger als 15 Tagen?		Ja, weniger als 15 Tage			
$flow.escalation.TicketOlderThanSixDays		Ist das Ticket älter als 6 Tage oder mehr?		Ja, 6 Tage oder mehr			
$flow.escalation._SendMifiMail	E-Mail senden mit folgender SO-Vorlage<N><T>Reply template -> 4. Salt Fiber -> 3. Salt Fiber Technical -> 6. Mifi Request.	E-Mail senden	so/mifitemplate				
$flow.escalation._AddEscalationMemo	Die erforderlichen Informationen zur Fallbearbeitung hinzufügen.<N><T>- Kein Internet.<N><T>- Glasfaserkabel ersetzt.<N><T>- Ticket-ID.<N><T>- Aktualisierte Kontaktdaten (falls zutreffend).<N><T>- Angabe, ob ein MiFi gegeben wurde.<N><T>- Kunde informiert, dass sein Ticket mit Priorität bearbeitet wird.<N><T>- Ticket eskaliert.	VTI-Notiz hinzufügen	vti/addnotede				
$flow.escalation.IsMifiNeeded	Sicherstellen, dass der Kunde keine andere Möglichkeit hat, sich mit dem Internet zu verbinden<N>z. B. Unnötig, eines anzubieten, wenn er ein Swiss oder höheres Mobilfunkabo bei Salt besitzt.<N><N>In S.O. -> Email prüfen, ob der Kunde bereits ein MiFi hat.<N><N>Wenn der Kunde bereits ein Mifi besitzt, in Marilyn überprüfen, ob eine Guthabenaufladung nötig ist und ggf. das PrePay-Guthaben aufladen.	Den Bedarf an einem MiFi-Gerät beurteilen und entsprechend vorschlagen	so/check-send-mifi				https://qoof.salt.ch/de/bug/internaltools/activation_troubleshooting_free-mifi
