FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Hallo zusammen! 						
$flow.TutoOne	Was <LQ>abgebildet<RQ> ist:<N><T>Ich habe keine Internet Verbindung<C><N><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>TroubleShot stability<C><N><T>Eskalation (Recaller)<C><N><T>MiFi<C><N><T>Power Kabel<C>	Hilfe bei der Entscheidung					
$flow.TutoTwo							
$flow.activation._SendCustomerBAckToStore	Dem Kunden vorschlagen, in den Laden zurückzukehren.<N>Nicht drängen.	Die Details des Stores notieren					https://qoof.salt.ch/de/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation._SOTicketOrderLost	QOOK ME : Reco from Anjelika. This should be a mail to a TL pool (including 2nd level TL)	Ein S.O. Ticket 'Order Lost*' erstellen					
$flow.nointernet.vti._TroubleShootActivation	"In VTI überprüfen, ob die Zahlung der Aktivierungsgebühr gebucht ist.<N><N>Prüfen, ob die Angaben zur OTO-ID angegeben und korrekt sind.<N><N>Prüfen, ob es sich nicht um einen ""Plug in use""-Fall handelt."	Den Qoof-Troubleshooting-Prozess bei der Aktivierung befolgen					https://qoof.salt.ch/de/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.activation.ActivationDoneEnd	"Aufgrund eines technischen Fehlers ist Ihre Bestellung in unseren Systemen verloren gegangen; wir werden Sie in den kommenden Stunden kontaktieren."	Ende	general/end				
$flow.activation.HaveStoreReciept		Fiber wurde in einem Store erworben.<N>Hat der Kunde den Beleg behalten?		Bestellung im Store	Online Bestellung		
$flow.all.customer._SendTechMail	Die Erstellung des Tickets über die folgende S.O. Vorlage bestätigen:<N><T>4.Salt Fiber -> 3.Salt Fiber Technical -> 4.Acknowledgement -> 03.Technical cases Open Front - correspondence.	Eine E-Mail senden					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Drücken Sie den Reset-Button auf der Rückseite Ihrer Salt Fiber Box mit einer Büroklammer oder einem spitzen Gegenstand.<N><N>Halten Sie den Button X Sekunden lang gedrückt.<N><N>Falls die Router-Einstellungen geändert wurden, müssen sie in der Verwaltungskonsole neu definiert werden.<N><N>Die Synchronisationsphase ist abgeschlossen, wenn die LEDs FIBER, WWW und WLAN wieder leuchten und nicht mehr blinken.	Die Fiber Box auf die Werkseinstellungen zurücksetzen	box/box-reset				https://qoof.salt.ch/de/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow.all.vti._AddMemoVti		Eine Notiz in VTI hinzufügen	vti/addnotede				
$flow.collection._ExplainReasons		Die Gründe erklären					
$flow.collection._InformUsualPaymentDelays	Je nach gewählter Methode kann es bis zu 5 Tage dauern, bis die Zahlungen eintreffen.<N><N><T>- eBanking -> die Zahlung wird in 1-2 Werktagen ausgeführt.<N><N><T>- bei dem Postschalter -> die Zahlung wird in 3-5 Werktagen ausgeführt.<N><N><T>-LSV -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>-LSV Kreditkarte -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>- Zahlung mit Kreditkarte oder TWINT -> Die Zahlung wird mit sofortiger Wirkung ausgeführt.<N><N>Die Dienste werden eine Stunde nach Zahlungseingang entsperrt	Den Kunden über die üblichen Verzögerungen informieren					https://qoof.salt.ch/de/customer-process/payment/payment_method/payment_methods
$flow.collection._OneHourAfterMoneyRecivedUnblocked	Je nach gewählter Methode kann es bis zu 5 Tage dauern, bis die Zahlungen eintreffen.<N><N><T>- eBanking -> die Zahlung wird in 1-2 Werktagen ausgeführt.<N><N><T>- bei dem Postschalter -> die Zahlung wird in 3-5 Werktagen ausgeführt.<N><N><T>-LSV -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>-LSV Kreditkarte -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>- Zahlung mit Kreditkarte oder TWINT -> Die Zahlung wird mit sofortiger Wirkung ausgeführt.<N><N>Die Dienste werden eine Stunde nach Zahlungseingang entsperrt	Die Dienste werden eine Stunde nach Zahlungseingang entsperrt					
$flow.collection._Pay		Der Kunde muss den überfälligen Betrag bezahlen					https://qoof.salt.ch/de/customer-process/payment/pay_bill_now
$flow.collection._PaymentSearch	Der Kunde muss uns über das Kontaktformular eine Bestätigung der Zahlung zukommen lassen.<N><T>- Die SuperOffice Vorlage Reply template -> 4. Salt Fiber -> 7. Billing and Payment -> 02. Payment -> Payment search verwenden.<N>- Ihn bitten auf die E-Mail zu antworten, damit wir die Zahlung suchen können.	Zahlungsnachweis anfordern	so/paymentsearchtemplate				
$flow.collection._SoTicketTreeTwoOne	- Ein Ticket [321] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>NICHTS VERSPRECHEN!'	Automatische Ticket-Erstellung [321] in SuperOffice 	so/compensationde				
$flow.collection._VerifyCollectionStep	In :<N>- VTI -> Abrechnungsinformationen -> Sammlungshistorie <N>- Customer Care Dashboard -> Payments -> Collection	Die Mahnprozess-Schritte und Gründe überprüfen	ccdashboard/collectionsteps				https://qoof.salt.ch/de/customer-process/billing/reminder_received/collection_path_residential
$flow.collection._YouWillBeInformed	Dem Kunden mitteilen, dass ein Entschädigungsantrag zur detaillierten Analyse an die zuständige Abteilung weitergeleitet wurde und er über das Ergebnis informiert wird.	Den Kunden über die ausgeführten Handlungen informieren					
$flow.collection.ForgotToPay		Handelt es sich um ein Versehen?					
$flow.collection.IsBillChallenged	Oder auch die Mahngebühren?	Bestreitet der Kunde die Rechnung?		Rechnung bestreitet	Rechnung angenommen		
$flow.collection.IsPaymentOneHourOldVisible		Ist eine Zahlung, die älter als eine Stunde ist, in VTI sichtbar?		Zahlung sichtbar in VTI	Keine sichtbare Zahlung 		
$flow.collection.IsSaltMistake	<T>-Der Kunde forderte die Änderung der Rechnungsart, der Rechnungsadresse, der Agent hat es entweder nicht durchgeführt, oder die falsche Rechnungsadresse eingegeben / falsche Rechnungszustellungsmethode gewählt.<N><T>- Der Kunde forderte die Änderung der E-Mail-Adresse für die Rechnungszustellung, falsche E-Mail-Adresse hinzugefügt.<N><T>- Kunde bat um Änderung des Zahlers, es wurde nicht erledigt / falsche Angaben zum Zahler eingegeben.	Ist die Sperrung aufgrund eines Fehlers von Salt aufgetreten?		Fehler von Salt	Kein Fehler von Salt		
$flow.collection.IsTechnicalReasons		Wurde die Zahlung aufgrund technischer Probleme nicht geleistet?		Technisches Problem	Anderer Grund		
$flow.collection.ManuallyUnblock	Nur mit der Genehmigung des TLs.	TV-Dienste manuell entsperren					https://qoof.salt.ch/de/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.collection.MoreThanFiveDaysAgo	<T>- eBanking -> die Zahlung wird in 1-2 Werktagen ausgeführt.<N><N><T>- bei dem Postschalter -> die Zahlung wird in 3-5 Werktagen ausgeführt.<N><N><T>-LSV -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>-LSV Kreditkarte -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>- Zahlung mit Kreditkarte oder TWINT -> Die Zahlung wird mit sofortiger Wirkung ausgeführt.	Vor mehr als 5 Tagen?		Mehr als 5 Tage	Weniger als 5 Tage 		
$flow.collection.PayedAlready		Der Kunde behauptet, schon bezahlt zu haben?					
$flow.escalation._AddMemoOne	<T>- Detail zur Bearbeitung des Falles<N>Kontaktangaben	Eine Notiz in VTI hinzufügen, wenn der Kunde ein Recaller ist	vti/addnotede				
$flow.escalation._AddMemoTwo	Bei Bedarf die Angaben in VTI korrigieren.	Letzte VTI Notiz	vti/addnote2de				https://qoof.salt.ch/de/knowledge/admin/contract/edit_customer_data_in_vti
$flow.escalation._EmailTLtech		Das Ticket an Pedro neu zuweisen					
$flow.escalation._EscalateTicket	Wrong OTO connected in 1.Wrong OTO[6.1.1]<N><N>Plug in Use info in 2.Plug in Use [6.1.2]<N><N>OTO Given by customer in 3.Delegate [6.1.3]<N><N>Order Status check request in 1.Order Status check request [6.2.1]<N><N>Umzugs in 2.Move (eligible address) [6.2.2]<N><N>Termination (kündigung) in 3.Kündigung (Termination)[6.2.3]<N><N>Nachfragen, ob: <N><T>- die Kontaktangaben (Handynummer, E-Mail-Adresse) korrekt sind,<N><T>- der Kunde die Kontaktaufnahme per Telefon, SMS, E-Mail, WhatsApp oder einem anderen Kanal bevorzugt.<N><N>Informieren, dass: <N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten. <N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.	Eskalieren	so/escalate/tab-de				https://qoof.salt.ch/de/knowledge/admin/rules/recaller_handling
$flow.escalation._InformTicketIsBeingTreated	Wir werden ihn in Kürze kontaktieren.	Den Kunden informieren, dass sein Ticket in Bearbeitung ist					
$flow.escalation._InformUpmostPrio	Er wird innerhalb von 48 Stunden kontaktiert.<N><N><N>Nachfragen, ob: <N><T>- die Kontaktangaben (Handynummer, E-Mail-Adresse) korrekt sind,<N><T>- der Kunde die Kontaktaufnahme per Telefon, SMS, E-Mail, WhatsApp oder einem anderen Kanal bevorzugt.<N><N>Informieren, dass: <N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten. <N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.	Den Kunden informieren, dass das Ticket mit Priorität bearbeitet wird					
$flow.escalation._SolveCustomerIssue		Das Problem des Kunden lösen					
$flow.escalation._VerifyContactDetails	VTI -> Informationen zum Auftragnehmer -> Angebot: Salt Fiber<N><N>Auch in Kundenereignis-Protokolle überprüfen, ob der Kunde keine anderen Kontaktinformationen mitgeteilt hat.	Die Kontaktangaben des Kunden überprüfen und bestätigen lassen	vti/checkcontactdetailsde				
$flow.escalation.IsCustomerRecaller	In S.O. (Wrap up, Cases, Email) et dans VTI -> Vie du client. 	Ruft der Kunde wegen des gleichen Problems an?	so/checkifrecallerfr				
$flow.escalation.IsMoveOrTermTicket	5. Umzugs- [215]<N>oder>N> 6. Kündigungsticket [216]?	Handelt es sich um ein bestehendes 5. Umzugs- [215] oder  6. Kündigungsticket [216]?		Kündigung oder Umzug	Anderes		
$flow.escalation.IsOrderTicket	3.Plug in Use info [413]<N>4.OTO Given by customer [414]<N>6.Order Status check request [416]<N>oder<N>1.OTO - Wrong OTO connected [511]?	Handelt es sich um ein bestehendes Ticket zur Bestellung [413], [414], [416], [511]?		Bestellung	Anderes		
$flow.escalation.IsTechTicket	1.Modem Connection [5.2.1]<N>3.Box Swap (under condition) [5.2.3]<N>oder<N>4.WWW-LED leuchtet nicht [5.2.4]	Handelt es sich um ein bestehendes [521], [523] oder [524] technisches Ticket?		Technisches 	Anderes		
$flow.escalation.LessThanFifteenDaysUntilSwitchDate		Ist das Switch-Date in weniger als 15 Tagen?		Ja, weniger als 15 Tage			
$flow.escalation.TicketOlderThanSixDays		Ist das Ticket älter als 6 Tage oder mehr?		Ja, 6 Tage oder mehr			
$flow.lan._CreateLanIssueTicket	'- Ein Ticket [521] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>'	Automatische Ticket-Erstellung [521] in SuperOffice 					
$flow.lan._RemoveAllCablesConnectedToBox	Und die Tests wiederholen	Alle anderen Kabel entfernen					
$flow.lan._SwapEthernetCable	Und die Tests wiederholen	Mit einem anderen Ethernet-Kabel testen					
