FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.nointernet.vti._TroubleShootActivation	"In VTI überprüfen, ob die Zahlung der Aktivierungsgebühr gebucht ist.<N><N>Prüfen, ob die Angaben zur OTO-ID angegeben und korrekt sind.<N><N>Prüfen, ob es sich nicht um einen ""Plug in use""-Fall handelt."	Den Qoof-Troubleshooting-Prozess bei der Aktivierung befolgen					https://qoof.salt.ch/de/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dem Kunden mitteilen, dass mit dem Glasfaseranschluss alles richtig funktioniert					
$flow.nointernet.customer.ConnectionType	LAN oder WiFi	An was ist das Gerät des Kunden angeschlossen?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	In VTI -> Kundereignis-Protokolle und in in SuperOffice -> Cases -> 6. Neues Fibre kabel (Sendungen per Post) [526] überprüfen.<N>Vom Kunden den Wechsel bestätigen lassen. 	Wurde das Glasfaserkabel ausgetauscht?					
$flow.nointernet.customer.FiberCableIsSalt		Ist das Glasfaserkabel ein Salt Kabel?					
$flow.nointernet.customer.InstallationOk	<T> - Korrekte OTO-Nummer auf der Steckdose<N><T> - Korrekte OTO-Portnummer benutzt<N><T> - Glasfaserkabel mit dem blauen Hebel (nach oben gestellt) verbunden<N><T> - Stromkabel angeschlossen	Ist die Installation in Ordnung?	box/blueleverup				https://qoof.salt.ch/de/knowledge/technical/modem_router/checking_the_fiber_box_connection|https://youtube.com/watch?v=UFBwdVRnc-E&t=105
$flow.nointernet.so.tckets._WrongOTO	'- Ein Ticket [511] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>'	Automatische Ticket-Erstellung [511] in SuperOffice 					
$flow.nointernet.fiberbox._RebootBox	(die Stromversorgung trennen und wieder anschliessen)	Die Fiber Box neu starten					https://qoof.salt.ch/de/knowledge/technical/modem_router/boot_led_sequence#startphase
$flow.nointernet.fiberbox._SpeedAndStability	Den Prozess Geschwindigkeit und Stabilität befolgen.	Ungewöhnliche RX-Werte?					https://qoof.salt.ch/de/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.NormalRxValues	<N>In <LQ>VTI > Angebotsverwaltung > Instrumententafel > Router > See History > RX<RQ> prüfen<N>wenn RX > -11 dBm ist, ist nicht normal <N>oder<N>wenn RX < -21 dBm ist, ist nicht normal	Liegen die RX-Werte innerhalb der Standardnorm?	vti/rx-values-de	Ja	Nein		
