FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.stability._BadOutstandingFlows	Box neu straten<N>Die LED-Sequenz befolgen, um zu prüfen, ob alles in Ordnung ist, dann die Vertwaltungskonsole der Box öffnen.<N>RX/TX Werte aufschreiben.	Der Datenfluss ist ungewöhnlich langsam					https://qoof.salt.ch/de/knowledge/technical/modem_router/boot_led_sequence#pr%C3%BCfung-der-led-sequenz-reihenfolge
$flow.stability._CNXallGooodMan	Siehe Qoof: <Q>Argumentationshilfe - Langsame Internetverbindung<Q>	Die Verbindung funktioniert normal					https://qoof.salt.ch/de/knowledge/technical/wording_tips/wording_poor_internet_speed
$flow.stability._OpenSpeedTest	<T>- auf dem Apple TV in den Apps<N><T>- aus dem Browser eines Computers in LAN: https://salt.speedtest.net<N><T>- auf einem mobilen Gerät durch Laden der App<N><T>- auf einem mobilen Gerät durch Öffnen der Seite https://salt.speedtest.net in einem Web-Browser	Speedtest öffnen					https://www.speedtest.net/de/apps/appletv
$flow.stability._RedoTestAndWthOtherNTW	2,4Ghz <-> 5Ghz	Die Tests über das andere WiFi-Netzwerk wiederholen					
$flow.stability._SelectSaltServer	Die GO-Taste in der Mitte des Bildschirms drücken.<N>~30s warten, bis die<N>Berechnungen durchgeführt werden<N>Ein- oder zweimal wiederholen<N><N><b>NOTIEREN:<N><T>- das Gerätemodell<N><T>- den DOWNLOAD-Wert<N><T>- den UPLOAD-Wert<b><N><N>Wenn Sie den Test mehr als einmal durchgeführt haben, notieren Sie einen einzigen Durchschnittswert.	Den Salt-Server auswählen	flow/stability/-SelectSaltServer				
$flow.stability.LanOrWiFi	Entsprechend der vom Kunden verwendeten Verbindungsart. 	Tests im LAN oder WiFi		WiFi	LAN		https://qoof.salt.ch/de/customer-process/getstarted/test_internet
$flow.stability.ValuesOverEighty	Übertragungswerte mehr als 80 Mbps = Die Verbindung funktioniert einwandfrei.	DOWNLOAD-Werte grösser oder gleich 80 Mbps?		mehr als 80 Mbps	weniger als 80 Mbps		https://qoof.salt.ch/de/customer-process/getstarted/test_internet/test_upload_and_download_speed#%C3%BCber-lan
$flow.stability.ValuesOverTwenty	Übertragungswerte mehr als 20 Mbps = Die Verbindung funktioniert einwandfrei.	DOWNLOAD-Werte grösser oder gleich 20 Mbps?		mehr als 20 Mbps	weniger als 20 Mbps		https://qoof.salt.ch/de/customer-process/getstarted/test_internet/test_upload_and_download_speed#%C3%BCber-wi-fi
$flow.stability._CreateSOTechModemSpeed	Ein Ticket [525] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>	Automatische Ticket-Erstellung [525] in SuperOffice					
$flow.stability.HasLANDevice		Können Sie ein Gerät über LAN verbinden? 					
$flow.stability.HasAppleTV		Besitzen Sie ein Apple TV?					
