FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Hello everyone!						
$flow.TutoOne	This is <LQ>mapped<RQ>:<N><T>I don't have Internet<C><N><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>TroubleShoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Decision support					
$flow.TutoTwo							
$flow.activation._SendCustomerBAckToStore	Suggest to the customer to return to the store.<N>Do not insist.	Write down the Store's contact details					https://qoof.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation._SOTicketOrderLost	QOOK ME : Reco from Anjelika. This should be a mail to a TL pool (including 2nd level TL)	Create a SO 'Order Lost*' Ticket					
$flow.nointernet.vti._TroubleShootActivation	Check in VTI if the payment of the activation fee is registered.<N><N>Check if details to the OTO ID are provided and correct.<N><N>Check if it is no ?Plug in use? case.	Follow the Qoof activation troubleshooting process					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.activation.ActivationDoneEnd	"Due to a technical error, your order has been lost in our systems; we will contact you in the following hours."	End	general/end				
$flow.activation.HaveStoreReciept		Fiber was purchased in a Store.<N>Did the customer keep the receipt?		Order in Store	Online order		
$flow.all.customer._SendTechMail	Confirm the creation of the ticket via the following SuperOffice template:<N><T>4.Salt Fiber -> 3.Salt Fiber Technical -> 4.Acknowledgement -> 03.Technical cases Open Front - correspondence.	Send an email					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Press the reset button on the back of the modem using a paper clip or similar pointed instrument.<N><N>Hold the button for X seconds.<N><N>In case the router settings were changed, they have to be redefined in the Admin Console.<N><N>The default password and username is admin / admin.<N><N>The synchronization phase is finished as soon as the FIBER, WWW and WLAN LEDs light up again and stop blinking.	Reset the Fiber Box to factory settings	box/box-reset				https://qoof.salt.ch/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow.all.vti._AddMemoVti		Add a note in VTI	vti/addnoteen				
$flow.collection._ExplainReasons		Explain the reasons					
$flow.collection._InformUsualPaymentDelays	Depending on the chosen method<N>it may take up to 5 days for payments to arrive.<N><N><T>- eBanking -> Payment will be executed within 1-2 business days.<N><N><T>- at the post office counter -> Payment will be executed within 3-5 business days.<N><N><T>- direct debit -> Payment will be executed on the due date of the invoice.<N><N><T>- direct debit with credit card -> Payment will be executed on the due date of the invoice.<N><N><T>- with credit card or TWINT -> Payment will be executed with immediate effect.<N><N>Services will be unblocked one hour after receipt of payment	Inform the customer about the usual delays					https://qoof.salt.ch/customer-process/payment/payment_method/payment_methods
$flow.collection._OneHourAfterMoneyRecivedUnblocked	Depending on the chosen method<N>it may take up to 5 days for payments to arrive.<N><N><T>- eBanking -> Payment will be executed within 1-2 business days.<N><N><T>- at the post office counter -> Payment will be executed within 3-5 business days.<N><N><T>- direct debit -> Payment will be executed on the due date of the invoice.<N><N><T>- direct debit with credit card -> Payment will be executed on the due date of the invoice.<N><N><T>- with credit card or TWINT -> Payment will be executed with immediate effect.<N><N>Services will be unblocked one hour after receipt of payment	Services will be unblocked one hour after receipt of payment					
$flow.collection._Pay		The customer must pay the overdue amount					https://qoof.salt.ch/customer-process/payment/pay_bill_now
$flow.collection._PaymentSearch	The customer must provide us with confirmation of payment via the contact form.<N><T>- Use the SuperOffice email template Reply template -> 4. Salt Fiber -> 7. Billing and Payment -> 02. Payment -> Payment search.<N><T> Ask him to reply to the email in order for us to search for the payment.	Request proof of payment	so/paymentsearchtemplate				
$flow.collection._SoTicketTreeTwoOne	A ticket [321] will be automatically generated upon advancing to the next step. Do not manually create one (SuperOffice). A copy of the content will be sent to your mailbox.<N><N>DON'T PROMISE ANYTHING!	Automatic ticket creation [321] in SuperOffice	so/compensationen				
$flow.collection._VerifyCollectionStep	In :<N>- VTI -> Bill information -> Collection<N>- Customer Care Dashboard -> Payments -> Collection	Check the collection steps and reasons	ccdashboard/collectionsteps				https://qoof.salt.ch/customer-process/billing/reminder_received/collection_path_residential
$flow.collection._YouWillBeInformed	Tell the customer that a compensation request has been forwarded to the responsible department, for a detailed analysis and he will be informed about the outcome. 	Inform the customer about the carried out actions					
$flow.collection.ForgotToPay		Is it an oversight?					
$flow.collection.IsBillChallenged	Or also the reminder fees?	Does the customer challenge the bill?		Bill challenged	Bill accepted		
$flow.collection.IsPaymentOneHourOldVisible		A payment older than one hour is visible in VTI?		Payment in VTI	No payment visible		
$flow.collection.IsSaltMistake	<T>- Customer asked to change billing method, billing address, the agent either did not do it, or typed the wrong billing address / selected wrong bill delivery method.<N><T>- Customer asked to change email address for bill delivery, wrong email address added.<N><T>- Customer asked payer change, it was not done / wrong payer details entered.	Is the blockage due to Salt's mistake?		Salt mistake	No mistake on Salt's side		
$flow.collection.IsTechnicalReasons		Was the payment not made due to technical reasons?		Technical issue	Other		
$flow.collection.ManuallyUnblock	Only upon the TL’s approval.	Manually unblock the TV services					https://qoof.salt.ch/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.collection.MoreThanFiveDaysAgo	<N><N><T>- eBanking -> Payment will be executed within 1-2 business days.<N><N><T>- at the post office counter -> Payment will be executed within 3-5 business days.<N><N><T>- direct debit -> Payment will be executed on the due date of the invoice.<N><N><T>- direct debit with credit card -> Payment will be executed on the due date of the invoice.<N><N><T>- with credit card or TWINT -> Payment will be executed with immediate effect.	More than 5 days ago?		More than 5 days ago	Less than 5 days ago		
$flow.collection.PayedAlready		The customer claims to have already paid?					
$flow.escalation._AddMemoOne	<T>- Detail for handling the case<N>contact details	Add a note in VTI if the customer is a recaller	vti/addnoteen				
$flow.escalation._AddMemoTwo	Correct details if necessary in VTI.	Final VTI note	vti/addnote2en				https://qoof.salt.ch/knowledge/admin/contract/edit_customer_data_in_vti
$flow.escalation._EmailTLtech		Reassign the ticket to Pedro					
$flow.escalation._EscalateTicket	Wrong OTO connected to 1.Wrong OTO [6.1.1]<N><N>Plug in Use info to 2.Plug in Use [6.1.2]<N><N>4.OTO Given by customer to 3.Delegate [6.1.3]<N><N>Order Status check request to 1.Order Status check request [6.2.1]<N><N>Move to 2.Move (eligible address) [6.2.2]<N><N>Termination (Chrun) to 3.Chrun (Termination) [6.2.3]<N><N>Ask if:<N><T>- the contact information (mobile number, e-mail address) is correct,<N><T>- the customer prefers to be contacted by phone, SMS, e-mail, WhatsApp or another channel. <N><N>Inform that:<N><T>- a technical ticket is forwarded to our technical department for a thorough analysis.<N><T>- he may be contacted.<N><T>- he will receive feedback as soon as possible.<N><T> - the box must always be powered (230V) and plugged in (SFP, Fibre, OTO) during the whole life of a ticket.	Escalate	so/escalate/tab-en				https://qoof.salt.ch/knowledge/admin/rules/recaller_handling
$flow.escalation._InformTicketIsBeingTreated	We will contact him shortly.	Inform the customer that his ticket is being processed					
$flow.escalation._InformUpmostPrio	He will be contacted within 48 hours<N><N><N>Ask if:<N><T>- the contact information (mobile number, e-mail address) is correct,<N><T>- the customer prefers to be contacted by phone, SMS, e-mail, WhatsApp or another channel. <N><N>Inform that:<N><T>- a technical ticket is forwarded to our technical department for a thorough analysis.<N><T>- he may be contacted.<N><T>- he will receive feedback as soon as possible.<N><T> - the box must always be powered (230V) and plugged in (SFP, Fibre, OTO) during the whole life of a ticket.	Inform the customer that the ticket will be treated with priority					
$flow.escalation._SolveCustomerIssue		Solve the customer's problem					
$flow.escalation._VerifyContactDetails	VTI -> Billing Account Information -> Abo: Salt Fiber<N><N>Also check in Customer events' log, if the customer has not provided any other contact details.	Check the customer's contact details and have them confirmed	vti/checkcontactdetailsfr				
$flow.escalation.IsCustomerRecaller	Check in S.O. (Wrap up, Cases, Email) and also in VTI -> Customer events' log. 	Does the customer call for the same problem?	so/checkifrecallerfr				
$flow.escalation.IsMoveOrTermTicket	5. Termination (Chrun) [215] <N>or<N> 6. Move [216]	Is it an existing 5.Termination (Chrun) [215] ticket or 6.Move [216]?		Termination or Move	Other		
$flow.escalation.IsOrderTicket	3. Plug in Use info [413]<N>4. OTO Given by customer [414]<N>6. Order Status check request [416]<N>ou<N>1. OTO - Wrong OTO connected [511]?	Is it an existing order ticket: [413], [414], [416], [511]?		Order	Other		
$flow.escalation.IsTechTicket	1.Modem Connection [5.2.1]<N>3.Box Swap (under condition) [5.2.3]<N>or 4.WWW LED OFF [5.2.4]	Is it an existing [521], [523] or [524] technical ticket ?		Technical 	Other		
$flow.escalation.LessThanFifteenDaysUntilSwitchDate		Is the switch date in less than 15 days?		Yes, less than 15 days			
$flow.escalation.TicketOlderThanSixDays		Is the ticket older than 6 days or more?		Yes, 6 days or more			
$flow.lan._CreateLanIssueTicket	- A ticket [521] will be automatically generated upon advancing to the next step. Do not manually create one (SuperOffice). A copy of the content will be sent to your mailbox.<N><N>Inform that:<N><T>- Inform that:<N><T>- a technical ticket is forw	Automatic ticket creation [521] in SuperOffice					
$flow.lan._RemoveAllCablesConnectedToBox	And repeat the tests	Remove all other cables					
$flow.lan._SwapEthernetCable	And repeat the tests	Try with another Ethernet cable					
$flow.lan.CanCheckWithAppleTVorOtherDevice	With Apple TV if available, if not, try using another device in LAN.	Is it possible to try with another device?		Apple TV or other LAN device	No other LAN device		
$flow.lan.ConnectDirectToFiberbox		Connect the device directly to the Box via LAN					
$flow.lan.ConnectedViaSwitch	(not directly to the box)	The device is connected through a switch					
$flow.lan.LanConnectionOK		Does the LAN connection work?					
