FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.nointernet.vti._TroubleShootActivation	Check in VTI if the payment of the activation fee is registered.<N><N>Check if details to the OTO ID are provided and correct.<N><N>Check if it is no ?Plug in use? case.	Follow the Qoof activation troubleshooting process					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Tell the customer that everything works properly with the Fiber Optic connection					
$flow.nointernet.customer.ConnectionType	LAN or WiFi	To what is the customer's device connected?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	Verify in VTI Customer Event Logs and In SuperOffice -> Cases -> 6. New Fibre Cable request (send by post) [526].<N>Have the customer confirm the change.	Has the Salt Fiber cable been changed before? 					
$flow.nointernet.customer.FiberCableIsSalt		Is the Fiber cable a Salt cable?					
$flow.nointernet.customer.InstallationOk	<T> - Correct OTO number on the socket<N><T> - Correct OTO port number used<N><T> - Fiber cable connected with the blue lever looking up<N><T> - Power cable connected	Is the installation OK?	box/blueleverup				https://qoof.salt.ch/knowledge/technical/modem_router/checking_the_fiber_box_connection
$flow.nointernet.so.tckets._WrongOTO	'- A ticket [511] will be automatically generated upon advancing to the next step. Do not manually create one (SuperOffice). A copy of the content will be sent to your mailbox.<N><N>Inform that:<N><T>- a technical ticket is forwarded to our technical department for a thorough analysis.<N><T>- he may be contacted.<N><T>- he will receive feedback as soon as possible.<N><T> - <em>the box must always be powered (230V) and plugged in (SFP, Fibre, OTO) during the whole life of a ticket.<em>'	Automatic ticket creation [511] in SuperOffice					
$flow.nointernet.fiberbox._RebootBox	(disconnect and reconnect the power cable)	Reboot the Fiber Box					https://qoof.salt.ch/de/knowledge/technical/modem_router/boot_led_sequence#startphase
$flow.nointernet.fiberbox._SpeedAndStability	Follow the Speed and Stability process	Non-standardw RX values?					https://qoof.salt.ch/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.NormalRxValues	Check in <LQ>VTI - Offer management - Health check - Router - See History - RX<RQ> <N>if RX is > -11 dBm, it's not normal<N>or<N>if RX < -21 dBm, it's not normal	Are the RX values within the norm (standard) ?	vti/rx-values-en	Yes	No		
