FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.salttv._ActivateTVServicesVTI	In:<N><T>- VTI -> Offer management -> Health Check -> TV<N><N>Click on <Q>Activate TV user>	Activate TV services in VTI	tv/activatetvuseren	Active			https://qoof.salt.ch/de/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.salttv._CheckHDMIcnx	Check that the physical HDMI port number matches the <Q>INPUT/SOURCE<Q> type selected on the TV.<N>Replace the HDMI cable if possible.	Verify the HDMI cable connection	tv/hdmiconnection	Connection OK			https://youtu.be/UFBwdVRnc-E?t=270
$flow.salttv._CheckIfAppNeedsUpdate	If an update is requiered, update Apple TV.<N><T>- Go to <Q>Settings - System - Software Updates<Q><N><T>- Select <Q>Update Software<Q> 	Is the Apple TV 4K software up to date?		Up to date			https://support.apple.com/en-gb/guide/tv/atvb7e0a4ea5/tvos
$flow.salttv._CheckIfSaltTVNeedsUpdate	If an update is requiered, update the Salt TV App.<N><N>Recommend the customer to set up automatic app updates. 	Is the Salt TV app on the latest version?  	tv/updatesalttv	Up to date			https://qoof.salt.ch/de/customer-process/configure/manage_appletv_salttv/salttv/update_salt_tv_app
$flow.salttv._ChekSaltTVKNownBugs	Verify if a general Salt TV incident or an incident impacting the specific channel is published in Qoof.<N>Status <Q>Open<Q> 	Is there currently an ongoing Salt TV bug published in Qoof?		No incident			https://qoof.salt.ch/de/bug/services/salt_tv_known_bugs
$flow.salttv._ConnectAppleTVtoOneGhz	Ask the customer to verify on the back of the router.	Make sure the Apple TV is connected to the 1Ghz ethernet port	box/lan/lan	connected to 1Ghz			
$flow.salttv._CreateAppleIDorBypass	1. Select SWITZERLAND as country.<N>2. Connect the Apple TV to the Fiber Box to enable <Q>Zero sign in<QR>.<N>3. Skip the Apple ID input step.<N>4. Select Salt as TV provider						
$flow.salttv._CreateSOTicketSaltTV	A ticket [541] will be automatically generated upon advancing to the next step. Do not manually create one (SuperOffice). A copy of the content will be sent to your mailbox.	Automatic ticket creation [541] in SuperOffice					
$flow.salttv._InstallSaltTV	You will find in the Qoof document <Q>YouTube<Q> tutorials for customer with or without existing Apple ID.	Download and install the Salt Tv app					https://qoof.salt.ch/de/customer-process/configure/manage_appletv_salttv/salttv/salttv_download_tipps_and_tricks
$flow.salttv._InstallSpeedTestAplleTV	Available in the App Store on the <Q>Home<Q> screen 	Download and install the app Speedtest on the AppleTV					https://www.speedtest.net/en/apps/appletv
$flow.salttv._MakeSurePowerCableWellPlugged	Make sure the Power cable is well plugged in.<N>Change the wall socket if needed.	Is the Power cable plugged in properly?	tv/powercablepluggedin	Cable OK			
$flow.salttv._QuitAndRelaunchSaltTV	Press the <Q>Home<Q> button twice quickly.<N>Swipe left or right on the Touch surface of the Siri Remote to navigate to the Salt TV app.<N>Swipe up on the Touch surface of the Siri Remote to force the Salt TV app to quit.<N>Press the menu button to return to the <Q>Home<Q> screen and restart the Salt TV app.	Restart the Salt TV app					https://support.apple.com/en-gb/guide/tv/atvbbcec4f4e/tvos
$flow.salttv._RebootAppleTV	Go to:<N><T>- Settings<N><T>- System<N><T>- Restart.	Reboot the Apple TV					https://support.apple.com/en-us/HT201836
$flow.salttv._RepairProcess	Encourage the customer to do the repair registration online	The Apple TV must be repaired					https://qoof.salt.ch/de/customer-process/use_trouble/replacement_and_repair/repair_equipment_fiberbox_tvbox_accessories#salt-fiber-box-fiber-zubeh%C3%B6r-und-apple-tv-4k
$flow.salttv._ResetAppleTV	Go to:<N><T>- Settings<N><T>- System<N><T>- Reset	Reset the AppleTV					https://support.apple.com/en-gb/HT202118
$flow.salttv.HasAppleAccount	An AppleID created by selecting a country other than Switzerland does not allow you to download SaltTV. 	Does the customer have a Swiss Apple ID?		No Swiss Apple ID	No Swiss Apple ID		
$flow.salttv.IsAppleTVvisibleOnTVScreen	The classical Home screen, containing icons of preinstalled apps.<N>(such as App Store)	Is the Apple TV Home screen visible on the TV?	tv/tvhomescreen	Visible	Not visible		
$flow.salttv.IsImageJerky	Jerky, unclear image.<N>Non-satisfying broadcasting quality.	Is the image Jerky ?	tv/jerkyimage	Jerky images	Other		
$flow.salttv.IsMessageInvitingToContactCC	If so, the client may be barred.	Is there a message prompting the customer to call the customer care?		Yes	No message		
$flow.salttv.IsSaltIconVisibleOnAppleTV		Is the Salt TV app icon visible?  	tv/salttvicon	Visible	Not visible		
$flow.salttv.IsTVServicesActiveVTI	Go to:<N><T>- VTI -> Offer management -> Health Check -> TV	Are the TV services active in VTI ?	tv/activetvservice	Active	Issue		
$flow.salttv.ProblemSolved	Does the customer confirm that all channels are working properly?	Is the problem resolved?		All OK	No		
$flow.salttv.WhatAppleTVcnxType	What connection type does the customer have?	How is the AppleTV connected to the Fiber Box?		On LAN	On WiFi		
$flow.salttv.WhiteLightLids	If powered properly the LED is steady and white 	Is the white LED (status light) on the Apple TV switched on? 	tv/statusled	Yes, white	Other		https://support.apple.com/en-gb/guide/tv/atvba38a4135/tvos
$flow.salttv._OpenSaltTVApp		Open the Salt TV App					
$flow.salttv._LogInWithSwissAppleID		Sign in with a Swiss Apple TV account					
$flow.salttv._ConnectAppleTVtoTheLAN		Connect the AppleTV via LAN					
