FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Bonjour monde !						
$flow.TutoOne	Ce qui est <LQ>mappé<RQ>:<N><T>J'ai pas internet<C><N><T>Troubleshoot WiFi<C><N><T>Troubleshoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>Troubleshoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Aide à la décision					
$flow.TutoTwo							
$flow.all.customer._SendTechMail	Confirmer la création du ticket via le modèle S.O. suivant :<N><T>4. Salt Fiber -> 3. Salt Fiber Technical -> 4. Acknowledgement -> 03. Technical cases Open Front - correspondence.	Envoyer un email					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Pressez le bouton «Reset» à l’arrière de la Salt Fiber Box à l’aide d’un trombone ou d’un objet pointu.<N><N>Maintenez la touche enfoncée pendant X secondes.<N><N>Si les paramètres du routeur ont été modifiés, ils doivent être redéfinis dans la Console d'administration.<N><N>La phase de synchronisation est finie dès que les LEDs FIBER, WWW et WLAN s'allument à nouveau et cessent de clignoter.	Faire une remise aux réglages d'usine de la Fiber Box	box/box-reset				https://qoof.salt.ch/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow.all.vti._AddMemoVti		Ajouter une note dans VTI	vti/addnotefr				
$flow.End	Avancer pour lancer une nouvelle session de troubleshooting	Fin	general/end				
$flow.TutoTree	Suis la procédure en :<N><T>- en cliquant sur les boutons ou<N><T>- en utilisant le clavier (comme sur l'image ci-contre).<N><N>En mode training, cliques sur le radar à droite pour déasctiver la création automatique de tickets.<N><N>Dans certaines pages tu trouveras l'icône suivant sous laquelle tu trouveras des instructions plus détaillées<N><T>- Pages Qoof<N><T>- Vidéos YouTube<N><T>- Autres pages internet<N><T>- Etc...	Instructions générales	ui/tutoKeyboardFR				https://qoof.salt.ch
$flow.Intro	Le client nous contacte, se plaignant de <N><T>- ne pas arriver à se connecter à internet (<em>Vérifier que la box est bien chez lui<em>).<N><T>- Avoir des soucis a regarder la télé.<N><T>- N'a pas reçu son matériel (Fiber Box)	J'ai un problème !	customer/When-It-Doesnt-Work	Internet ne marche pas	TV fonctionne pas bien	Pas reçu la Box Fiber	
$flow.all.customer.IsSlowOrKaput		Internet est juste lent ?		Oui, lent	Non, marche pas du tout		
