FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Bonjour monde !						
$flow.TutoOne	Ce qui est <LQ>mappé<RQ>:<N><T>J'ai pas internet<C><N><T>Troubleshoot WiFi<C><N><T>Troubleshoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>Troubleshoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Aide à la décision					
$flow.TutoTwo							
$flow.activation._SendCustomerBAckToStore	Proposer au client de retourner au Store.<N> Ne pas insister.	Noter les coordonnées du Store					https://qoof.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation._SOTicketOrderLost	QOOK ME : Reco from Anjelika. This should be a mail to a TL pool (including 2nd level TL)	Faire un Ticket S.O. 'Order Lost*'					
$flow.nointernet.vti._TroubleShootActivation	"Vérifier dans VTI si le paiement des frais d'activation est enregistré.<N><N>Vérifier si les détails de l'ID OTO sont fournis et corrects.<N><N>Vérifier s'il ne s'agit pas d'un cas de ""Plug in use""."	Suivre procédure Qoof troubleshooting d'activation					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.activation.ActivationDoneEnd	Suite à un problème technique votre commande s'est perdue dans nos systèmes, nous allons vous contacter dans les heures qui suivent.	Fin	general/end				
$flow.activation.HaveStoreReciept		Fiber a été souscrit dans un Store.<N>Le client a gardé le ticket de caisse avec lui ?		Souscription au store	Souscription en ligne		
$flow.all.customer._SendTechMail	Confirmer la création du ticket via le modèle S.O. suivant :<N><T>4. Salt Fiber -> 3. Salt Fiber Technical -> 4. Acknowledgement -> 03. Technical cases Open Front - correspondence.	Envoyer un email					
$flow.all.vti._AddMemoVti		Ajouter une note dans VTI	vti/addnotefr				
$flow.collection._ExplainReasons		Expliquer les raisons					
$flow.collection._InformUsualPaymentDelays	Selon la méthode choisie les paiements peuvent mettre 5 jours à arriver.<N><N><T>- eBanking -> Le paiement sera exécuté dans 1-2 jours ouvrables.<N><N><T>- au guichet de la Poste -> Le paiement sera exécuté dans 3-5 jours ouvrables.<N><N><T>- débit direct -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>-  débit direct par carte de crédit -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>- par carte de crédit ou TWINT -> Le paiement sera exécuté avec effet immédiat.<N><N>Les services seront débloqués une heure après l'arrivée du paiement.	Informer le client des délais habituels					https://qoof.salt.ch/customer-process/payment/payment_method/payment_methods
$flow.collection._OneHourAfterMoneyRecivedUnblocked	Selon la méthode choisie les paiements peuvent mettre 5 jours à arriver.<N><N><T>- eBanking -> Le paiement sera exécuté dans 1-2 jours ouvrables.<N><N><T>- au guichet de la Poste -> Le paiement sera exécuté dans 3-5 jours ouvrables.<N><N><T>- débit direct -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>-  débit direct par carte de crédit -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>- par carte de crédit ou TWINT -> Le paiement sera exécuté avec effet immédiat.<N><N>Les services seront débloqués une heure après l'arrivée du paiement.	Les services seront débloqués une heure après l'arrivée du paiement.					
$flow.collection._Pay		Le client doit payer les montants en souffrance					https://qoof.salt.ch/customer-process/payment/pay_bill_now
$flow.collection._PaymentSearch	Le client doit nous fournir une confirmation de paiement via le formulaire de contact.<N><T>- Utiliser le template email SuperOffice Reply template -> 4. Salt Fiber -> 7. Billing and Payment -> 02. Payment -> Payment search.<N><T>- Lui demander de répondre à l'email afin que nous puissions rechercher le paiement.	Demander une confirmation de paiement 	so/paymentsearchtemplate				
$flow.collection._SoTicketTreeTwoOne	'- Un ticket [321] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>NE RIEN PROMETTRE !'	Création automatique de tickets [321] dans SuperOffice	so/compensationfr				
$flow.collection._VerifyCollectionStep	Dans :<N>- VTI -> Informations facturation -> Collection<N>- Customer Care Dashboard -> Payments -> Collection	Vérifier l'étape de collection ainsi que les raisons	ccdashboard/collectionsteps				https://qoof.salt.ch/customer-process/billing/reminder_received/collection_path_residential
$flow.collection._YouWillBeInformed	Dire au client qu'une demande de compensation a été transmise au département responsable, pour une analyse approfondie, et qu'il sera informé du résultat.	Informer le client des actions exécutées					
$flow.collection.ForgotToPay		S'agit il d'un oubli ?					
$flow.collection.IsBillChallenged	Ou aussi les frais de rappel ?	Est-ce que le client remet en cause la facture ?		Facture remise en cause	Facture acceptée		
$flow.collection.IsPaymentOneHourOldVisible		Un paiement datant de plus d'une heure est visible dans VTI ?		Paiement dans VTI	Pas de paiement visible		
$flow.collection.IsSaltMistake	<T>- Le client a demandé de changer la méthode de facturation, l'adresse de facturation, l'agent ne l'a pas fait, ou a tapé la mauvaise adresse de facturation / a choisi la mauvaise méthode de livraison de la facture.<N><T>- Le client a demandé de changer l'adresse email pour la livraison de la facture, une adresse email erronée a été ajoutée.<N><T>- Le client a demandé un changement de payeur, cela n'a pas été fait / les détails du payeur ont été incorrectement saisis.	Le blocage est-il dû à une erreur de Salt ?		Erreur Salt	Salt n'a pas commit d'erreur		
$flow.collection.IsTechnicalReasons		Le paiement n'a pas pu être fait pour des raisons techniques ?		Problème technique	Autre		
$flow.collection.ManuallyUnblock	Seulement avec l'approbation du TL. 	Débloque manuellement les services TV					https://qoof.salt.ch/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.collection.MoreThanFiveDaysAgo	<T>- eBanking -> Le paiement sera exécuté dans 1-2 jours ouvrables.<N><N><T>- au guichet de la Poste -> Le paiement sera exécuté dans 3-5 jours ouvrables.<N><N><T>- débit direct -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>-  débit direct par carte de crédit -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>- par carte de crédit ou TWINT -> Le paiement sera exécuté avec effet immédiat.	Il y a plus de 5 jours ?		Plus de 5j	Moins de 5j		
$flow.collection.PayedAlready		Le client dit avoir déjà payé ?					
$flow.escalation._AddMemoOne	<T>- Détail pour traiter le cas<N>données de contact	Ajouter une note dans le VTI si le client est un recaller	vti/addnotefr				
$flow.escalation._AddMemoTwo	Corriger les détails si besoin dans VTI.	Note finale VTI	vti/addnote2fr				https://qoof.salt.ch/knowledge/admin/contract/edit_customer_data_in_vti
$flow.escalation._EmailTLtech		Réassigner le ticket à Pedro					
$flow.escalation._EscalateTicket	Wrong OTO connected vers 1.Wrong OTO [6.1.1]<N><N>Plug in Use info vers 2.Plug in Use [6.1.2]<N><N>OTO Given by customer vers 3.Delegate [6.1.3]<N><N>Order Status check request vers 1.Order Status check request [6.2.1]<N><N>Déménagement vers 2.Move (eligible address) [6.2.2]<N><N>Termination (Résiliation) vers 3.Résiliation (Termination) [6.2.3]<N><N>Demander si :<N><T>- les informations de contact (numéro mobile, adresse e-mail) sont correctes,<N><T>- le client il préfère être contacté par téléphone, SMS, e-mail, WhatsApp ou un autre canal.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.	Escalader	so/escalate/tab-fr				https://qoof.salt.ch/knowledge/admin/rules/recaller_handling
$flow.escalation._InformTicketIsBeingTreated	Nous allons le contacter prochainement.	Informer le client que son ticket est en cours de traitement					
$flow.escalation._InformUpmostPrio	Il sera contacté dans les 48h<N><N><N>Demander si :<N><T>- les informations de contact (numéro mobile, adresse e-mail) sont correctes,<N><T>- le client il préfère être contacté par téléphone, SMS, e-mail, WhatsApp ou un autre canal.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.	Informer le client que le ticket sera traité avec priorité					
$flow.escalation._SolveCustomerIssue		Résoudre le problème du client					
$flow.escalation._VerifyContactDetails	VTI -> Informations contractant -> Offre: Salt Fiber<N><N>À vérifier également dans Vie du client, si le client n'a pas fourni d'autres coordonnées.	Vérifier les coordonnées de contact du client et faites-le confirmer	vti/checkcontactdetailsfr				
$flow.escalation.IsCustomerRecaller	Vérifier dans S.O. (Wrap up, Cases, Email) et dans VTI -> Vie du client. 	Le client appelle pour le même problème ?	so/checkifrecallerfr				
$flow.escalation.IsMoveOrTermTicket	5. Termination (Résiliation) (215)<N>ou<N>6. Déménagement (216) ?	Il s'agit d'un ticket existant de Résiliation [215] ou Déménagement [216] ?		Déménagement ou Résiliation	Autre		
$flow.escalation.IsOrderTicket	3. Plug in Use info [413]<N>4. OTO Given by customer [414]<N>6. Order Status check request [416]<N>ou<N>1. OTO - Wrong OTO connected [511]?	Il s'agit d'un ticket existant de commande [413], [414], [416], [511] ?		Commande	Autre		
$flow.escalation.IsTechTicket	1.Modem Connection [5.2.1]<N>3.Box Swap (under condition) [5.2.3]<N>ou<N> 4.Le LED WWW ne s'allume pas [5.2.4]	Il s'agit d'un ticket technique existant [521], [523] ou [524] ?		Technique	Autre		
$flow.escalation.LessThanFifteenDaysUntilSwitchDate		La switch date est dans moins de 15 jours ?		Oui, moins de 15j			
$flow.escalation.TicketOlderThanSixDays		Le ticket est vieux de 6 jours ou plus ?		Oui, 6j ou plus			
$flow.lan._CreateLanIssueTicket	'- Un ticket [521] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [521] dans SuperOffice				Envoyer	
$flow.lan._RemoveAllCablesConnectedToBox	Et refaire les tests	Retirer tous les autres câbles					
$flow.lan._SwapEthernetCable	Et refaire les tests	Essayer avec un autre câble Ethernet					
$flow.lan.CanCheckWithAppleTVorOtherDevice	Si l'AppleTV est disponible, essayer avec sinon un autre appareil en LAN.	Est-il possible d'essayer avec un autre appareil ?		AppleTV ou autre appareil en LAN	Pas d'autre appareil en LAN		
$flow.lan.ConnectDirectToFiberbox		Connecter l'appareil via LAN directement à la box					
$flow.lan.ConnectedViaSwitch	(pas directement sur la box)	L'appareil est connecté via un switch					
$flow.lan.LanConnectionOK		La connexion en LAN fonctionne ?					
$flow.escalation.IsMifiNeeded	S'assurer que le client n'a pas d'autre moyens de se connecter à internet<N>Par ex. Inutile de lui proposer s'il a un abo Salt mobile Swiss ou supérieur<N><N>Vérifier dans « S.O. -> Email » si le client a déjà un MiFi.<N><N>Si le client possède déjà un Mifi, vérifier dans Marilyn si un rechargement de crédit est nécessaire et recharger le crédit PrePay.	Évaluer la nécessité d'un MiFi et le proposer en conséquence	so/check-send-mifi				https://qoof.salt.ch/bug/internaltools/activation_troubleshooting_free-mifi
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire au client que tout fonctionne correctement avec la connexion de Fibre optique					
$flow.nointernet.customer.ConnectionType	LAN ou WiFi	Sur quoi est connecté l'appareil du client ?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	Vérifier dans VTI -> Vie du client et dans SuperOffice -> Cases -> 6. Nouveau cable Fibre (envois per poste) [526].<N>Demander au client de confirmer le changement.	Le cable Fiber de Salt a-t-il été changé préalablement ? 					
$flow.nointernet.customer.FiberCableIsSalt		Le câble Fiber est un câble Salt ?					
$flow.nointernet.customer.InstallationOk	<T> - Numéro OTO correct sur la prise<N><T> - Numéro correct du port OTO utilisé<N><T> - Câble de fibre connecté avec le levier bleu (placé vers le haut)<N><T> - Câble d'alimentation connecté	L'installation est OK ?	box/blueleverup				https://qoof.salt.ch/knowledge/technical/modem_router/checking_the_fiber_box_connection|https://youtube.com/watch?v=z9aL-arjRJw&t=105s
$flow.nointernet.so.tckets._WrongOTO	'- Un ticket [511] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [511] dans SuperOffice					
$flow.nointernet.fiberbox._RebootBox	(débrancher et rebrancher l'alimentation)<N> Si la LED Power clignote en rouge c'est qu'une miseà jour du Firmware est en cours.<N>Il est important d'attendre la fin du processus sans débrancher la box.	Redémarrer la Box Fiber					https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#d%C3%A9marrage
$flow.nointernet.fiberbox._SpeedAndStability	Suivre procédure Speed et stabilité	Valeurs RX hors norme ?					https://qoof.salt.ch/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.NormalRxValues	Vérifier dans <LQ>VTI - Gestion de l'offre - Dashboard santé - Router - See History - RX<RQ> <N>Si RX est > -11 dBm, c'est anormal<N>ou<N> si RX < -21 dBm, c'est anormal	Les valeur RX sont dans la norme ?	vti/rx-values	Oui	Non		
$flow.nointernet.fiberbox.BootSequence	<T>- Fiber LED RED (steady/blinking),<N><T> - Fiber LED GREEN BLINKING,<N> WWW OFF,<N> Fiber LED OFF	La séquence de boot est-elle :					
$flow.nointernet.fiberbox.FiberLedGreenStable		La LED Fiber est comment ?		Verte et stable	Rouge	Clignotante Rouge/Vert	
$flow.nointernet.fiberbox.IconRedNoRX		Aucune valeur RX et icone Rouge ?					
$flow.nointernet.so._CreateTicketModemCNX	'- Un ticket [521] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [521] dans SuperOffice				Envoyer	
$flow.nointernet.so._InformTicketStatus	Saisir les infos manquantes si notées dans le ticket.	Informer le client sur le statut du ticket.	general/conversation				
$flow.nointernet.so.ModemConnectionTicketOpen		Y-a-t-il un ticket S.O. 1.Modem Connection [521] ouvert ?					
$flow.nointernet.so.IsTicketOpened	<N>Soit technique :<N><T>- Modem Connection<N><T>- Probléme de Wifi / Wlan<N><T>- Box Swap (under condition)<N><T>- Le LED WWW ne s'allume pas<N><N>Soit commande : <N><T>- Plug in Use info<N><T>- OTO Given by customer<N><T>- Order Status check request<N><T>- OTO - Wrong OTO connected<N><N>Soit demandes de :<N><T>- Déménagement<N><T>- Résiliation<N><N>Le statut du ticket peut être : Raised / Pending customer / Pending other teams / Re-open / Pending future date<N><N>Vérifier également « VTI -> Vie du client » et S.O. -> Wrap-Up pour des interactions récentes avec le client.	Vérifier dans S.O. « Cases » et « Email » si un ticket lié à un problème de connexion est ouvert	so/techticketopened	Recaller	Pas de ticket récent		https://cs.salt.ch/scripts/ticket.fcgi?_sf=0&action=searchTable&table=person&_activeMenu=1
$flow.nointernet.vti.CheckContractorVTI	1. Rechercher le client avec<N><T>- le numéro de compte de facturation,<N><T>- le nom,<N><T>- l'adresse e-mail,<N><T>- etc.<N><N>2. Vérifier dans VTI que le contrat ouvert corresponde bien au client.<N>Selectionner toute la page (CTRL + A)<N>3. Copier tout (CTRL + C) et <N>4. coller (CTRL + V) ici.<N> Vérifiez que le contractor ID et le Voip sont corrects.	Le client est bien identifié dans VTI ?	vti/copy_all	C'est le bon	Introuvable		https://qoof.salt.ch/knowledge/admin/tools/search_customers_in_vti
$flow.nointernet.vti.ActivationDone	Provisioning completed dans VTI?	Le client est-il activé?	vti/provisioning-completed				https://qoof.salt.ch/knowledge/admin/order/comand_completed
$flow.nointernet.vti.IconStatusBoxManagement	Vérifier dans VTI > Gestion de l'offre > dashboard santé > Router<N><T>- <b>Rafraichir<b> (bouton à droite)<N><T>- WANMGT doit être vert<N><T>- WANHSI doit être vert	Le statut du routeur (WANMGT, WANHSI) est-il VERT ?	flow/nointernet/vti/IconStatusBoxManagement-fr	Vert	Rouge		
$flow.nointernet.vti.IsBarred	Services Internet bloqués par Finance :<N><T>- VTI -> Gestion de l’offre -> Dashboard santé -> ONT Config TFTP<N><N>Si bloqués :<N><T>- IP4_Gateway=127.0.0.1<N><T>- IP6_StaticGateway=::1	Est-ce que le client est barré ?	vti/Databarred				
$flow.powercable._CreateTicketModemBoxSwap	<N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie. On pourrait le contacter.<T>Il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [523] dans SuperOffice				Envoyer	
$flow.installation._RemoveMultiplePowerSocket	Si la box est branchée sur un multiprise, brancher directement sur la prise murale.<N>Essayer sur une autre prise murale.	Vérifier les branchements de la prise électrique					
$flow.powercable.CanGoToTheShop	Là-bas il pourra tester sa box avec une autre alimentation.	Le client peut-il se rendre dans le store le plus proche ?					
$flow.powercable.LedPowerOn	(la LED Power doit être verte)<N>Demander de changer de prise murale.<N>Vérifier le branchement de l'alimentation de la box.	La LED POWER est verte ?	box/powerLed	Oui, verte			https://qoof.salt.ch/knowledge/technical/modem_router/boot_led_sequence
$flow.stability._BadOutstandingFlows	Reboot Box<N>Suivre la séquence de LED pour voir si tout est ok ouvrir Box Admin<N>Noter RX/TX	Les flux sont anormalement lents					https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#v%C3%A9rification-des-s%C3%A9quences
$flow.stability._CNXallGooodMan	cf. Qoof 'Argumentaire - Perception de lenteur de la connexion Internet'	La connexion fonctionne normalement					https://qoof.salt.ch/knowledge/technical/wording_tips/wording_poor_internet_speed
$flow.stability._OpenSpeedTest	Soit dans un navigateur ou préférablement depuis l'AppleTV (installer App si nécessaire) 	Ouvrir salt.speedtest.net					
$flow.stability._RedoTestAndWthOtherNTW	2,4Ghz <-> 5Ghz	Refaire les tests sur l'autre réseau WiFi					
$flow.stability._SelectSaltServer	Pressez le bouton GO au centre de l'écran<N>Patientez ~30s que les<N>calculs se fassent<N>Répéter une ou deux fois	Sélectionner le serveur Salt	flow/stability/-SelectSaltServer				
$flow.stability.LanOrWiFi		Tests En LAN ou WiFi		WiFi	LAN		https://qoof.salt.ch/customer-process/getstarted/test_internet
$flow.stability.ValuesOverEighty		Supérieur ou égal à 80 Mbps ?					
$flow.stability.ValuesOverTwenty		Valeurs supérieur ou égales à 20 Mbps?					
$flow.swapcable._FiberCableByPost	'- Un ticket [526] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>(avant 16h le câble arrivera le lendemain, sinon le sur lendemain)'	Envoi d'un câble Fiber par la poste					
$flow.swapcable._FiberCableByStore	ATTENTION pendant le confinement (Corona Virus), <b>uniquement par la poste<b>.<N> Ne pas envoyer les clients dans les Stores car ils sont fermés. <N><N>Envoyer un email lui rappelant de bien prendre l'ancien câble avec lui.	Envoyer le client dans un Store					
$flow.swapcable.SwapFiberCable	ATTENTION pendant le confinement (Corona Virus), <b>uniquement par la poste<b>.<N> Ne pas envoyer les clients dans les Stores car ils sont fermés. <N><N>Cela peut se faire soit dans un Salt store, soit par la poste.<N><N><B>Par la poste<B>, si la demande d’envoi du câble est faite avant 16:30 (ticket créé depuis le tool), le câble est envoyé le jour même. 	Il faut échanger le câble de Fibre optique		STORE	POST		
$flow.wifi._ConteactDeviceSupport		Contacter le support technique de l'appareil					
$flow.wifi._CreateTicketWifiIssue	'- Un ticket [522] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [522] dans SuperOffice					
$flow.wifi._ResetWifiParams	Forget WiFi sur les appareils<N>Utiliser l'outil Assistance pour les appareils si le client a besoin de soutien.	Faire un une remise à zéro aux réglages d'usine des paramètres WiFi de l'appareil					https://salt.ch/device-help/
$flow.wifi._RestartDevice		Rebooter l'appareil					
$flow.wifi._SwitchOnUsingButton	Pendant X secondes	Appuyer sur le bouton en façade	box/box-front-wlan				
$flow.wifi._SwitchOnWifiFromAdminConsole	Ouvrir votre navigateur internet : taper l’adresse 192.168.1.1<N><N>Saisir le nom d'utilisateur et le mot de passe (admin / admin par défaut).<N><N>Changer la vue de « Standard » à « Expert ».<N><N>Aller dans Vue combinée sous WLAN.<N><N>S'assurer que ON est affiché sous le réseau de la bande connectée à côté du champ Activer SSID.	Depuis l'admin du box faites activer les 2 WiFis					https://qoof.salt.ch/knowledge/technical/modem_router/turn_on_off_wifi_in_the_admin_console
$flow.wifi.CanConnectToBoxWithLAN		Est-il possible de connecter un appareil en LAN ?					
$flow.wifi.ErrorIconOnWifiIcon		Erreur sur l'icône WiFi de l'appareil ?					
$flow.wifi.WifiButtonBroken	(quand on appuie dessus, il ne revient pas à sa position initiale)	Le bouton de WiFi est-il cassé ?					
$flow.wifi.WifiOnInDashboard		Est-ce-que les 2 WiFi sont verts dans sur le dashboard ?	vti/WifiOnInDashboard-fr				https://qoof.salt.ch/knowledge/technical/modem_router/check_in_vti_if_wifi_is_active
$flow.wifi.WiFiPasswordAccepted		Le mot de passe WiFi est accepté ?					https://qoof.salt.ch/customer-process/configure/admin_console/change_wifi_name_and_password
$flow.wifi.WifiVisibleByAppleTV	(Débrancher le câble LAN de l'AppleTV au préalable)<N><N>Apple TV -> Réglages -> Réseau -> Wi-Fi<N>Choisir le nom d'un réseau Wi-Fi compatible pour connecter.	Le WiFi est visible par l'apple TV ?					
$flow.wifi.WifiVisibleOnDevice		Le WiFi est visible sur l'appareil ?					
$flow.activation.SendTicketToTLPool	Le TL va contacter Fabien et Bart	Collecte les infos et vas vers ton TL.					
$flow.End	Avancer pour lancer une nouvelle session de troubleshooting	Fin	general/end				
$flow.TutoTree	Suis la procédure en :<N><T>- en cliquant sur les boutons ou<N><T>- en utilisant le clavier (comme sur l'image ci-contre).<N><N>En mode training, cliques sur le radar à droite pour désactiver la création automatique de tickets.<N><N>Dans certaines pages tu trouveras l'icône suivante sous laquelle tu trouveras des instructions plus détaillées<N><T>- Pages Qoof<N><T>- Vidéos YouTube<N><T>- Autres pages internet<N><T>- Etc...	Instructions générales	ui/tutoKeyboardFR				https://qoof.salt.ch
$flow.Intro	Le client nous contacte, se plaignant de ne pas arriver à se connecter à internet.<N><N><em>Vérifier que la box est bien chez lui<em>.	Internet ne marche pas	customer/When-It-Doesnt-Work				
$flow.nointernet.postLedChecks.WasInternetWorkingBefore	Vérifier dans l'historique du Box management	Est-ce-que Internet fonctionnait avant ?					
