FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.nointernet.vti._TroubleShootActivation	"Vérifier dans VTI si le paiement des frais d'activation est enregistré.<N><N>Vérifier si les détails de l'ID OTO sont fournis et corrects.<N><N>Vérifier s'il ne s'agit pas d'un cas de ""Plug in use""."	Suivre procédure Qoof troubleshooting d'activation					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire au client que tout fonctionne correctement avec la connexion de Fibre optique					
$flow.nointernet.customer.ConnectionType	LAN ou WiFi	Sur quoi est connecté l'appareil du client ?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	Vérifier dans VTI -> Vie du client et dans SuperOffice -> Cases -> 6. Nouveau cable Fibre (envois per poste) [526].<N>Demander au client de confirmer le changement.	Le cable Fiber de Salt a-t-il été changé préalablement ? 					
$flow.nointernet.customer.FiberCableIsSalt		Le câble Fiber est un câble Salt ?					
$flow.nointernet.customer.InstallationOk	<T> - Numéro OTO correct sur la prise<N><T> - Numéro correct du port OTO utilisé<N><T> - Câble de fibre connecté avec le levier bleu (placé vers le haut)<N><T> - Câble d'alimentation connecté	L'installation est OK ?	box/blueleverup				https://qoof.salt.ch/knowledge/technical/modem_router/checking_the_fiber_box_connection|https://youtube.com/watch?v=z9aL-arjRJw&t=105s
$flow.nointernet.so.tckets._WrongOTO	'- Un ticket [511] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [511] dans SuperOffice					
$flow.nointernet.fiberbox._RebootBox	(débrancher et rebrancher l'alimentation)<N> Si la LED Power clignote en rouge c'est qu'une miseà jour du Firmware est en cours.<N>Il est important d'attendre la fin du processus sans débrancher la box.	Redémarrer la Box Fiber					https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#d%C3%A9marrage
$flow.nointernet.fiberbox._SpeedAndStability	Suivre procédure Speed et stabilité	Valeurs RX hors norme ?					https://qoof.salt.ch/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.NormalRxValues	Vérifier dans <LQ>VTI - Gestion de l'offre - Dashboard santé - Router - See History - RX<RQ> <N>Si RX est > -11 dBm, c'est anormal<N>ou<N> si RX < -21 dBm, c'est anormal	Les valeur RX sont dans la norme ?	vti/rx-values	Oui	Non		
