FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.salttv._ActivateTVServicesVTI	Dans :<N><T>- VTI -> Gestion de l’offre -> Dashboard santé -> TV<N><N>cliquer sur <Q>Activer l’utilisateur TV <Q>	Activer les services TV dans VTI	tv/activatetvuserfr	Activé			https://qoof.salt.ch/fr/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.salttv._CheckHDMIcnx	Vérifier que le numéro de port physique HDMI correspond au type <Q>INPUT/SOURCE<Q> sélectionné sur le téléviseur.<N>Remplacer le câble HDMI si possible.	Vérifier la connexion du câble HDMI	tv/hdmiconnection	Connexion OK			https://youtu.be/z9aL-arjRJw?t=267
$flow.salttv._CheckIfAppNeedsUpdate	Si une mise à jour est nécessaire, mettre à jour le logiciel de l’Apple TV.<N><T>- Aller à <Q>Réglages - Système - Mises à jour logicielles<Q><N><T>- Sélectionner <Q>Mettre à jour les logiciels<Q> 	Le logiciel Apple TV 4K est-il à jour ?		Mise à jour			https://support.apple.com/fr-ch/guide/tv/atvb7e0a4ea5/tvos
$flow.salttv._CheckIfSaltTVNeedsUpdate	Si une mise à jour est nécessaire, mettre à jour l'application Salt TV.<N><N>Recommander au client de configurer les mises à jour automatiques de l'application.  	L'application Salt TV est-elle à la dernière version ?  	tv/updatesalttv	Mise à jour			https://qoof.salt.ch/fr/customer-process/configure/manage_appletv_salttv/salttv/update_salt_tv_app
$flow.salttv._ChekSaltTVKNownBugs	Vérifier si un incident général Salt TV ou un incident concernant la chaîne spécifique est publié dans Qoof.<N>Statut <Q>Open<Q> 	Y a-t-il actuellement un bug Salt TV en cours publié dans Qoof ?		Pas d'incident			https://qoof.salt.ch/fr/bug/services/salt_tv_known_bugs
$flow.salttv._ConnectAppleTVtoOneGhz	Demander au client de vérifier à l'arrière du routeur. 	S'assurer que l'Apple TV est connectée au port ethernet 1Ghz	box/lan/lan	Connecté à 1Ghz			
$flow.salttv._CreateAppleIDorBypass	1. Choisir SUISSE comme pays<N>2. Connecter l'Apple TV à la Fiber Box Connecter l'Apple TV à la Fiber Box pour permettre <Q>Zero sign in<Q>.<N>3. Sauter l'étape de saisie de l'Apple ID<N>4. Sélectionner Salt comme fournisseur TV 	Connecter l'Apple TV à la Fiber Box pour installer automatiquement Salt TV 					
$flow.salttv._CreateSOTicketSaltTV	Un ticket [541] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer de ticket manuellement (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.	Création automatique du ticket [541] dans SuperOffice.					
$flow.salttv._InstallSaltTV	Dans le document Qoof vous trouverez des tutoriels <Q>YouTube<Q> pour les clients avec ou sans Apple ID.	Télécharger et installer l'application Salt TV					https://qoof.salt.ch/fr/customer-process/configure/manage_appletv_salttv/salttv/salttv_download_tipps_and_tricks
$flow.salttv._InstallSpeedTestAplleTV	Disponible dans l'App Store sur la page <Q>Home<Q> 	Télécharger et installer l'application Speedtest sur l'Apple TV<N>Et connectez-vous en LAN					https://www.speedtest.net/fr/apps/appletv
