FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Buongiorno a tutti!						
$flow.TutoOne	Ciò che è <LQ>mappato<RQ>:<N><T>Non ho internet<C><N><T>Troubleshoot WiFi<C><N><T>Troubleshoot LAN<C><N><T>Sawp Fiber cable<C><N><T>Collection path<C><N><T>Activtion issue<C><N><T>Troubleshoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Aiuto alla decisione					
$flow.TutoTwo							
$flow.all.customer._SendTechMail	Confermare la creazione del ticket tramite il seguente modello SO:<N><T>4. Salt Fiber -> 3. Salt Fiber Technical -> 4. Acknowledgement -> 03. Technical cases Open Front - correspondence.	Inviare un'e-mail					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Premere il tasto «Reset» sul retro del Salt Fiber Box aiutandosi con una graffetta, un ago o un altro oggetto appuntito.<N><N>Mantenere il tasto premuto per X secondi.<N><N>Se i parametri del routeur sono stati modificati, bisogna ridefinirli nella Console di amministrazione.<N><N>La fase di sincronizzazione è finita appena i LED FIBER, WWW e WLAN si riaccendono e smettono di lampeggiare.	Ripristinare il Fiber Box alle impostazioni di fabbrica	box/box-reset	Reset riuscito	Reset non riuscito		https://qoof.salt.ch/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings	
$flow.all.vti._AddMemoVti		Aggiungere una nota in VTI	vti/addnoteit				
$flow.End	Cliccare su Next per iniziare una nuova sessione di troubleshooting	Fine	general/end				
$flow.TutoTree	Segui la procedura:<N><T>- cliccando sui tasti o<N><T>- utilizzando la tastiera (come nell'immagine a lato).<N><N>In modalità training, clicca sul radar in alto a destra per disattivare la creazione automatica di ticket.<N><N>Su alcune pagine vedrai la seguente icona, sotto la quale troverai istruzioni più dettagliate.<N><T>- Pagine Qoof<N><T>- Video YouTube<N><T>- Altre pagine internet<N><T>- Ecc...	Istruzioni generali	ui/tutoKeyboardIT				https://qoof.salt.ch
$flow.Intro	Il cliente ci contatta lamentandosi perché: <N><T>- non riesce a connettersi a Internet (<em>verificare che il Box sia a casa sua<em>).<N><T>- ha dei problemi con la TV.<N><T>- non ha ricevuto il suo materiale (Fiber Box)	Ho un problema con il mio prodotto Salt…<N>TV / Consegna del materiale / Connessione internet	customer/When-It-Doesnt-Work	Internet non funziona	La TV non funziona bene	Fiber Box non ricevuto	
$flow.all.customer.IsSlowOrKaput		Internet è solo lento?		Sì, è lento	No, non funziona affatto	Tagli piuttosto intermittenti	
