FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.escalation._AddMemoOne	<T>- Dettagli per elaborare il caso<N>informazioni di contatto	Aggiungere una nota in VTI se il cliente è un recaller	vti/addnoteit				
$flow.escalation._AddMemoTwo	Correggere i dettagli se necessario in VTI.	Nota finale in VTI	vti/addnote2it				https://qoof.salt.ch/knowledge/admin/contract/edit_customer_data_in_vti
$flow.escalation._EmailTLtech		Inviare dal ticket una e-mail a Pedro.Pimenta@salt.ch 					
$flow.escalation._EscalateTicket	Wrong OTO connected verso 1. Wrong OTO [6.1.1]<N><N>Plug in Use info verso 2. Plug in Use [6.1.2]<N><N>OTO Given by customer verso 3. Delegate [6.1.3]<N><N>Order Status check request verso 1. Order Status check request [6.2.1]<N><N>Trasloco verso 2. Move (eligible address) [6.2.2]<N><N>Termination (Résiliation) verso 3. Résiliation (Termination) [6.2.3]<N><N>Chiedere se:<N><T>- le informazioni di contatto (numero di cellulare indirizzo e-mail) sono corrette,<N><T>- il cliente preferisce essere contattato per telefono, SMS, e-mail, WhatsApp o un altro canale.<N><N>Informare che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) durante tutta la durata del ticket.	Escalate	so/escalate/tab-it				https://qoof.salt.ch/knowledge/admin/rules/recaller_handling
$flow.escalation._InformTicketIsBeingTreated	Lo contatteremo a breve.	Informare il cliente che il suo ticket è in elaborazione.					
$flow.escalation._InformUpmostPrio	Sarà contattato entro 48 ore<N><N><N>Chiedere se:<N><T>- le informazioni di contatto (numero di cellulare, indirizzo e-mail) sono corrette,<N><T>- il cliente preferisce essere contattato per telefono, SMS, e-mail, WhatsApp o un altro canale.<N><N>Informare che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) durante tutta la durata del ticket.	Informare il cliente che il ticket sarà trattato con priorità.					
$flow.escalation._SolveCustomerIssue		Risolvere il problema del cliente					
$flow.escalation._VerifyContactDetails	VTI -> Contractor no -> Abo: Salt Fiber<N><N>Da verificare anche in Eventi del cliente se il cliente non ha fornito altre informazioni.	Verificare i dati del cliente e chiederne conferma	vti/checkcontactdetailsit				
$flow.escalation.IsCustomerRecaller	Verificare in SO (Wrap up, Cases, Email) e in VTI -> Eventi del cliente. 	Il cliente chiama per lo stesso problema?	so/checkifrecallerit				
$flow.escalation.IsMoveOrTermTicket	5. Termination (Disdetta) (215)<N>o<N>6. Trasloco (216) ?	Si tratta di un ticket esistente di Disdetta [215] o Trasloco [216] ?		Trasloco o Disdetta	Altro		
$flow.escalation.IsOrderTicket	3. Plug in Use info [413]<N>4. OTO Given by customer [414]<N>6. Order Status check request [416]<N>ou<N>1. OTO - Wrong OTO connected [511]?	Si tratta di un ticket esistente di ordine [413], [414], [416], [511]?		Ordine	Altro		
$flow.escalation.IsTechTicket	1. Modem Connection [5.2.1]<N>3. Box Swap (under condition) [5.2.3]<N> 4. Il LED WWW non si accende [5.2.4] 	Si tratta di un ticket tecnico esistente [521], [523] o [524]?		Tecnico	Altro		
$flow.escalation.LessThanFifteenDaysUntilSwitchDate		Lo switch date è tra meno di 15 giorni?		Sì, meno di 15 giorni			
$flow.escalation.TicketOlderThanSixDays		Il ticket risale a 6 giorni fa o più?		Sì, 6 giorni o più			
$flow.escalation._SendMifiMail	Inviare un'e-mail utilizzando il modello SO :<N><T>Reply template -> 4. Salt Fiber -> 3. Salt Fiber Technical -> 6. Mifi Request.	Inviare un'e-mail	so/mifitemplate				
$flow.escalation._AddEscalationMemo	Aggiungere le informazioni necessarie per l'elaborazione dei casi.<N><T>-No Internet.<N><T>- Cavo in fibra ottica cambiato.<N><T>- ID del ticket.<N><T>- Coordinate di contatto aggiornate (se del caso).<N><T>- Se MiFi è stato dato.<N><T>- Cliente informato che il ticket sarà trattato con priorità.<N><T>- Ticket risolto.	Aggiungere una nota in VTI	vti/addnoteit				
$flow.escalation.IsMifiNeeded	Assicurarsi che il cliente non abbia altri modi per connettersi a internet<N>Ad es. inutile proporgli se ha un abbonamento Salt mobile Swiss o superiore<N><N>Verificare in «SO -> Email» se il cliente ha già un MiFi.<N><N>Se il cliente ha già un Mifi, verificare in Marilyn se una ricarica del credito è necessaria e ricaricare il credito PrePay.	Valutare la necessità di un Mifi e proporla (se del caso)	so/check-send-mifi				https://qoof.salt.ch/bug/internaltools/activation_troubleshooting_free-mifi
