FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.installation._EnsureCorrectPortPlug	<b>Soprattutto se il cavo è stato cambiato<b>	Assicurarsi che il cavo Fiber sia collegato alla giusta porta OTO	box/oto/Correctplugit				
$flow.installation._EnsureNoLanLoop	Un anello LAN (LAN Loop) è un cavo che parte da una porta del box e che finisce direttamente in un'altra porta	Assicurarsi che non ci sia un anello LAN	box/lanloop				
$flow.installation.IsOTOidAligned	Chiedere al cliente di leggere il numero OTO ad alta voce.	Il numero OTO è lo stesso di quello in VTI?					
$flow.installation.OTOPlugDamagedNotClicking	Il cavo in fibra sulla spina non tiene bene (nessun <LQ>click<RQ> quando viene premuto)	La spina OTO è danneggiata?					
$flow.installation._CheckSFP	Cercare di <b>non far manipolare troppo l'SFP<b>. Basta assicurarsi che: <N><T>- La leva blu è in alto. <N><T>- Il SFP è spinto fino in fondo.	Assicurarsi che l'SFP racchiuda correttamente il cavo Fiber	box/sfp/badgood				https://qoof.salt.ch/fr/customer-process/use_trouble/internet/led_fiber_off_red#raccordez-tous-les-c%C3%A2bles-selon-la-vid%C3%A9o
$flow.installation._RemoveMultiplePowerSocket	Se il box è collegato a una presa multipla, attaccarlo direttamente alla presa murale.<N>Provare con un'altra presa murale	Controllare l'attacco della presa elettrica					
$flow.activation._SendCustomerBAckToStore	Proporre al cliente di ritornare al negozio.<N> Non insistere.	Annotare le coordinate dello store					https://qoof.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation.SendTicketToTLPool	Il TL contatterà Fabien e Bart	Raccogli le informazioni e rivolgiti al tuo TL.					
$flow.activation.IsFiberOrMultisurf		Si tratta di un contratto Fiber o Multi Surf ?		Fiber	Multi Surf		
$flow.activation.WhereWasOrderDone		Dov'è stato fatto l'ordine?		Online o porta a porta	In uno store		https://qoom.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation._GetAdresAndElligibility		Verificare l'indirizzo e la disponibilità della fibra ottica di Salt					https://qoof.salt.ch/fr/customer-process/discover/services/availability_check#dans-les-salt-stores-par-le-service-client%C3%A8le
$flow.activation.ActivationDoneEnd	A causa di un problema tecnico, la sua richiesta è andata persa nei nostri sistemi. Sarà contattato nelle prossime ore.	Fine	general/end				
$flow.activation.HaveStoreReciept		Fiber è stato sottoscritto in un Salt store.<N>Il cliente ha tenuto lo scontrino?		Iscrizione in uno store	Iscrizione online		
flow.installation.IsOtoPortWrong		La presa OTO del cliente ha il numero di porta VTI?					
