FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Bonjour monde !						
$flow.TutoOne	Ce qui est <LQ>mappé<RQ>:<N><T>J'ai pas internet<C><N><T>Troubleshoot WiFi<C><N><T>Troubleshoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>Troubleshoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Aide à la décision					
$flow.TutoTwo							
$flow.nointernet.vti._TroubleShootActivation	"Vérifier dans VTI si le paiement des frais d'activation est enregistré.<N><N>Vérifier si les détails de l'ID OTO sont fournis et corrects.<N><N>Vérifier s'il ne s'agit pas d'un cas de ""Plug in use""."	Suivre procédure Qoof troubleshooting d'activation					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.all.customer._SendTechMail	Confirmer la création du ticket via le modèle S.O. suivant :<N><T>4. Salt Fiber -> 3. Salt Fiber Technical -> 4. Acknowledgement -> 03. Technical cases Open Front - correspondence.	Envoyer un email					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Pressez le bouton «Reset» à l’arrière de la Salt Fiber Box à l’aide d’un trombone ou d’un objet pointu.<N><N>Maintenez la touche enfoncée pendant X secondes.<N><N>Si les paramètres du routeur ont été modifiés, ils doivent être redéfinis dans la Console d'administration.<N><N>La phase de synchronisation est finie dès que les LEDs FIBER, WWW et WLAN s'allument à nouveau et cessent de clignoter.	Faire une remise aux réglages d'usine de la Fiber Box	box/box-reset				https://qoof.salt.ch/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow.all.vti._AddMemoVti		Ajouter une note dans VTI	vti/addnotefr				
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire au client que tout fonctionne correctement avec la connexion de Fibre optique					
$flow.nointernet.customer.ConnectionType	LAN ou WiFi	Sur quoi est connecté l'appareil du client ?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	Vérifier dans VTI -> Vie du client et dans SuperOffice -> Cases -> 6. Nouveau cable Fibre (envois per poste) [526].<N>Demander au client de confirmer le changement.	Le cable Fiber de Salt a-t-il été changé préalablement ? 					
$flow.nointernet.customer.FiberCableIsSalt		Le câble Fiber est un câble Salt ?					
$flow.nointernet.customer.InstallationOk	<T> - Numéro OTO correct sur la prise<N><T> - Numéro correct du port OTO utilisé<N><T> - Câble de fibre connecté avec le levier bleu (placé vers le haut)<N><T> - Câble d'alimentation connecté	L'installation est OK ?	box/blueleverup				https://qoof.salt.ch/knowledge/technical/modem_router/checking_the_fiber_box_connection|https://youtube.com/watch?v=z9aL-arjRJw&t=105s
$flow.nointernet.so.tckets._WrongOTO	'- Un ticket [511] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [511] dans SuperOffice					
$flow.nointernet.fiberbox._RebootBox	(débrancher et rebrancher l'alimentation)<N> Si la LED Power clignote en rouge c'est qu'une miseà jour du Firmware est en cours.<N>Il est important d'attendre la fin du processus sans débrancher la box.	Redémarrer la Box Fiber					https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#d%C3%A9marrage
$flow.nointernet.fiberbox._SpeedAndStability	Suivre procédure Speed et stabilité	Valeurs RX hors norme ?					https://qoof.salt.ch/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.NormalRxValues	Vérifier dans <LQ>VTI - Gestion de l'offre - Dashboard santé - Router - See History - RX<RQ> <N>Si RX est > -11 dBm, c'est anormal<N>ou<N> si RX < -21 dBm, c'est anormal	Les valeur RX sont dans la norme ?	vti/rx-values	Oui	Non		
$flow.nointernet.fiberbox.BootSequence	<T>- Fiber LED RED (steady/blinking),<N><T> - Fiber LED GREEN BLINKING,<N> WWW OFF,<N> Fiber LED OFF	La séquence de boot est-elle :					
$flow.nointernet.fiberbox.FiberLedGreenStable		La LED Fiber est comment ?		Verte et stable	Rouge	Clignotante Rouge/Vert	
$flow.nointernet.fiberbox.IconRedNoRX		Aucune valeur RX et icone Rouge ?					
$flow.nointernet.so._CreateTicketModemCNX	'- Un ticket [521] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [521] dans SuperOffice				Envoyer	
$flow.nointernet.so._InformTicketStatus	Saisir les infos manquantes si notées dans le ticket.	Informer le client sur le statut du ticket.	general/conversation				
$flow.nointernet.so.ModemConnectionTicketOpen		Y-a-t-il un ticket S.O. 1.Modem Connection [521] ouvert ?					
$flow.nointernet.so.IsTicketOpened	<N>Soit technique :<N><T>- Modem Connection<N><T>- Probléme de Wifi / Wlan<N><T>- Box Swap (under condition)<N><T>- Le LED WWW ne s'allume pas<N><N>Soit commande : <N><T>- Plug in Use info<N><T>- OTO Given by customer<N><T>- Order Status check request<N><T>- OTO - Wrong OTO connected<N><N>Soit demandes de :<N><T>- Déménagement<N><T>- Résiliation<N><N>Le statut du ticket peut être : Raised / Pending customer / Pending other teams / Re-open / Pending future date<N><N>Vérifier également « VTI -> Vie du client » et S.O. -> Wrap-Up pour des interactions récentes avec le client.	Vérifier dans S.O. « Cases » et « Email » si un ticket lié à un problème de connexion est ouvert	so/techticketopened	Recaller	Pas de ticket récent		https://cs.salt.ch/scripts/ticket.fcgi?_sf=0&action=searchTable&table=person&_activeMenu=1
$flow.nointernet.vti.CheckContractorVTI	Rechercher le client avec<N><T>- le numéro de compte de facturation,<N><T>- le nom,<N><T>- l'adresse e-mail,<N><T>- etc.<N><N>Vérifier dans VTI que le contrat ouvert corresponde bien au client.<N>Copier (CTRL + C) le numéro VoIP et le coller (CTRL + V) dans le champ VoIP N°.	Le client est bien identifié dans VTI ?	vti/searchandverifycontractorfr	C'est le bon	Introuvable		https://qoof.salt.ch/knowledge/admin/tools/search_customers_in_vti
$flow.nointernet.vti.ActivationDone	Provisioning completed dans VTI?	Le client est-il activé?	vti/provisioning-completed				https://qoof.salt.ch/knowledge/admin/order/comand_completed
$flow.nointernet.vti.IconStatusBoxManagement	Vérifier dans VTI > Gestion de l'offre > dashboard santé > Router<N><T>- <b>Rafraichir<b> (bouton à droite)<N><T>- WANMGT doit être vert<N><T>- WANHSI doit être vert	Le statut du routeur (WANMGT, WANHSI) est-il VERT ?	flow/nointernet/vti/IconStatusBoxManagement-fr	Vert	Rouge		
$flow.nointernet.vti.IsBarred	Services Internet bloqués par Finance :<N><T>- VTI -> Gestion de l’offre -> Dashboard santé -> ONT Config TFTP<N><N>Si bloqués :<N><T>- IP4_Gateway=127.0.0.1<N><T>- IP6_StaticGateway=::1	Est-ce que le client est barré ?	vti/Databarred				
$flow.stability._BadOutstandingFlows	Reboot Box<N>Suivre la séquence de LED pour voir si tout est ok ouvrir Box Admin<N>Noter RX/TX	Les flux sont anormalement lents					https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#v%C3%A9rification-des-s%C3%A9quences
$flow.stability._CNXallGooodMan	cf. Qoof 'Argumentaire - Perception de lenteur de la connexion Internet'	La connexion fonctionne normalement					https://qoof.salt.ch/knowledge/technical/wording_tips/wording_poor_internet_speed
$flow.stability._OpenSpeedTest	Soit dans un navigateur ou préférablement depuis l'AppleTV (installer App si nécessaire) 	Ouvrir salt.speedtest.net					
$flow.stability._RedoTestAndWthOtherNTW	2,4Ghz <-> 5Ghz	Refaire les tests sur l'autre réseau WiFi					
$flow.stability._SelectSaltServer	Pressez le bouton GO au centre de l'écran<N>Patientez ~30s que les<N>calculs se fassent<N>Répéter une ou deux fois	Sélectionner le serveur Salt	flow/stability/-SelectSaltServer				
$flow.stability.LanOrWiFi		Tests En LAN ou WiFi		WiFi	LAN		https://qoof.salt.ch/customer-process/getstarted/test_internet
$flow.stability.ValuesOverEighty		Supérieur ou égal à 80 Mbps ?					
$flow.stability.ValuesOverTwenty		Valeurs supérieur ou égales à 20 Mbps?					
$flow.End	Avancer pour lancer une nouvelle session de troubleshooting	Fin	general/end				
$flow.TutoTree	Suis la procédure en :<N><T>- en cliquant sur les boutons ou<N><T>- en utilisant le clavier (comme sur l'image ci-contre).<N><N>En mode training, cliques sur le radar à droite pour déasctiver la création automatique de tickets.<N><N>Dans certaines pages tu trouveras l'icône suivant sous laquelle tu trouveras des instructions plus détaillées<N><T>- Pages Qoof<N><T>- Vidéos YouTube<N><T>- Autres pages internet<N><T>- Etc...	Instructions générales	ui/tutoKeyboardFR				https://qoof.salt.ch
$flow.Intro	Le client nous contacte, se plaignant de <N><T>- ne pas arriver à se connecter à internet (<em>Vérifier que la box est bien chez lui<em>).<N><T>- Avoir des soucis a regarder la télé.<N><T>- N'a pas reçu son matériel (Fiber Box)	J'ai un problème !	customer/When-It-Doesnt-Work				
$flow.nointernet.postLedChecks.WasInternetWorkingBefore	Vérifier dans l'historique du Box management	Est-ce-que Internet fonctionnait avant ?					
$flow.nointernet.postLedChecks.IsSerialNumberCorrect	<N><T>1. Placer la Box enface de soi<N><T>2. La retourner bas en haut<N><T>3. Placer les deux pouces sur la soucoupe<N><T>4. Pousser vers l'avant<N><T>5. Enlever complètement la soucoupe<N><T>6. Le N° de série est après S/N: 	Le numéro de série de la box au domicile correspond-il à celui dans VTI ?	box/serialfind				
$flow.nointernet.postLedChecks._ReadSerialNumber	Accompagner le client<N>Expliquer clairement toutes les étapes (manuelles) pour trouver le numéro sur la box.	Saisir le numéro de serie de la box					
$flow.nointernet.postLedChecks._ReadRXValues	Accompagner le client<N>Indiquer comment trouver la valeur RX.<N>Si il n'est pas possible d'obtenir les valeurs et que le seul et unique appareil dans le foyer est l'AppleTV saisir <b>aaa<b>.<N><N><em>Si la redirection vers la page de login ne se fait pas, il faut la saisir à la main:<N>192.168.1.1/login.htm<em>	Saisir les valeurs RX (Console d'Admin FiberBox au domicile)	box/AdminRX-fr	Valeurs RX ou aaa	Sequence de boot anormale	WiFi Invisible	https://youtube.com/watch?v=vB61nkVrqj0|https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#v%C3%A9rification-des-s%C3%A9quences
$flow.nointernet.so.tckets._SwapBox	'- Un ticket [523] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer :<N><T>- qu’un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- on pourrait le contacter.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit toujours être alimenté (230V) et branché (SFP, Fibre, OTO) pendant toute la durée de vie d'un ticket.<em>'	Création automatique de tickets [523] dans SuperOffice					
$flow.nointernet.fiberbox.IsWWWLedOff		Est-ce que la LED WWW est verte ?		Verte	Éteinte		https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#www-led
$flow.nointernet.fiberbox.IsWWWLedGreen		Est-ce que la LED WWW est verte ?		Verte	Éteinte		https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#www-led
$flow.nointernet.fiberbox.WhatIsFiberLEDStatus		Comment est la LED Fiber ?		Verte stable		Rouge, clignottante ou éteinte	
$flow.nointernet.so.tckets._TvProblem		Create a ticket 541					
$flow.nointernet.fiberbox.FiberLedOff		La led Fiber est OFF ?					
$flow.nointernet.customer.HasCustomerLEXnetworkIssue	Trouver le LEX et l'OLT dans VTI, comparer avec la liste des incidents de service dans Qoof	Y-a-t-il un incident dans le LEX ?	vti/lexincident	Oui, informez que c'est en cours de résolution			https://qoof.salt.ch/bug/services/services_major_incidents
