FLAG	HEADER
$flow.all.fiberbox._WhereIsBoxPlaced.Placement	Standort
$flow.all.fiberbox._WhereIsBoxPlaced.Openspace	1. Offener Raum
$flow.all.fiberbox._WhereIsBoxPlaced.Closedspace	2. Geschlossener Raum
$flow.all.fiberbox._WhereIsBoxPlaced.Multimedia	3. Multimediaverteiler
$flow.nointernet.fiberbox.BoxLedStatus.Off	aus
$flow.nointernet.fiberbox.BoxLedStatus.WhiteStable	Konstant weiss
$flow.nointernet.fiberbox.BoxLedStatus.WhiteBlink	Weiss blinkend
$flow.nointernet.fiberbox.BoxLedStatus.Greenstable	Konstant grün
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink	Grün blinkend
$flow.nointernet.fiberbox.BoxLedStatus.RedBlink	Rot blinkend
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink30sRedstable3s	Grün blinkend 30 s, konstant rot 3 s
$flow.nointernet.fiberbox.BoxLedStatus.Redstable	Konstant rot
$flow.nointernet.fiberbox.BoxLedStatus.Blink	blinkend
$flow.nointernet.fiberbox.BoxLedStatus.BlueBlink	Blau blinkend
$flow.nointernet.fiberbox.BoxLedStatus.Bluestable	Konstant blau
$flow.nointernet.fiberbox.BoxLedStatus.Normal	Normal
$flow.nointernet.fiberbox.BoxLedStatus.Allgreen	Alle grün
$flow.installation._EnsureCorrectPortPlug.PLUGEDPORT	Nr. angeschlossener Port
$flow.installation.IsOTOidAligned.OTOIDonplugathome	OTO-ID des Wohnungsanschlusses
$flow.stability.IsAnyServiceImpactedForNormalUse.Servicenotusable	Beeinträchtigter Dienst
$flow.tv.sound.IsSameIssueWithOtherApps.Listotherapps	Liste anderer Anwendungen
$flow.tv.sound.IsSameIssueWithOtherApps.Setup	Liste des Equipments
$flow.nointernet.postLedChecks.IsSerialNumberCorrect.SerialNb	Seriennr.
$flow.vti.SerialVTI.SerialNb	Seriennr.
$flow.activation.WhereWasOrderDone.Storename	Name des Salt Stores
$flow.swapcable._InputShiping.AdressStreet	Strasse
$flow.swapcable._InputShiping.AdressZip	PLZ
$flow.swapcable._InputShiping.AdressNbr	Nr.
$flow.swapcable._InputShiping.AdressCity	Stadt
$flow.nointernet.fiberbox.NormalRxValues.BoxRX	Rx Power<N>auf der Box der Kund:in
$flow.tickets.CustomerInstruction.Contactnumber	Kontaktnummer
$flow.tickets.CustomerInstruction.Contact email	Kontakt-E-Mail
$flow.Intro.ISSUE	Mit welchem Problem haben Sie zu kämpfen?
$flow.Intro.internet	Internet funktioniert nicht
$flow.Intro.tv	TV funktioniert nicht richtig
$flow.Intro.order	Wie lautet der Status meiner Bestellung?
$flow.Intro.phone	Das Telefon funktioniert nicht
	
$flow.phone.WhatIsthePhoneISsue.ISSUE	Welches Problem haben Sie mit Ihrem Telefon?
$flow.phone.WhatIsthePhoneISsue.no_calls	Keine Anrufe.
$flow.phone.WhatIsthePhoneISsue.caller_id	ID-Nr. der Anrufer:in wird nicht angezeigt.
$flow.phone.WhatIsthePhoneISsue.drop_calls	Anrufe werden abgebrochen.
$flow.phone.WhatIsthePhoneISsue.sound_quality	Anrufe haben schlechte Sound-Qualität.
	
$flow.phone.InputDeviceNameAndBrand.Device	Gerät
$flow.phone.InputDeviceNameAndBrand.Brand	Marke
	
$flow.phone.ProvideSamples.Expl_I_CountryCode	Bsp. 1 Ländervorwahl
$flow.phone.ProvideSamples.Expl_II_CountryCode	Bsp. 2 Ländervorwahl
$flow.phone.ProvideSamples.Expl_III_CountryCode	Bsp. 3 Ländervorwahl
$flow.phone.ProvideSamples.Expl_I_PhoneNber	Bsp. 1 Telefonnummer
$flow.phone.ProvideSamples.Expl_II_PhoneNber	Bsp. 2 Telefonnummer
$flow.phone.ProvideSamples.Expl_III_PhoneNber	Bsp. 3 Telefonnummer
$flow.phone.ProvideSamples.Expl_I_Date	Bsp. 1 Datum
$flow.phone.ProvideSamples.Expl_II_Date	Bsp. 2 Datum
$flow.phone.ProvideSamples.Expl_III_Date	Bsp. 3 Datum
$flow.phone.ProvideSamples.Expl_I_Time	Bsp. 1 Zeit
$flow.phone.ProvideSamples.Expl_II_Time	Bsp. 2 Zeit
$flow.phone.ProvideSamples.Expl_III_Time	Bsp. 3 Zeit
$flow.phone.WhichCallsAreImpacted.TYPE	Art der betroffenen Anrufe
$flow.phone.WhichCallsAreImpacted.all	Alle Anrufe
$flow.phone.WhichCallsAreImpacted.incomming	Nur eingehende Anrufe
$flow.phone.WhichCallsAreImpacted.outgoing	Ausgehende Anrufe
$flow.phone.WhichCallsAreImpacted.Specific	Bestimmte Nummern (Premium, internationale, ein Anbieter)
	
$flow.nointernet.vti.IsBarred.STATUS	Status Sperrung
$flow.nointernet.vti.IsBarred.Nobarrings	Keine Sperrung
$flow.nointernet.vti.IsBarred.CustomerOperator	Kund:in/Anbieter
$flow.nointernet.vti.IsBarred.Fraud	Betrug
$flow.nointernet.vti.IsBarred.Collection	Inkasso
