FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.vti.SerialVTI		Ich gebe hier die Seriennummer der Box ein<N>Von VTI -> Instrumententafel -> Fiber FLL	box/serial_vti				
$flow.nointernet.fiberbox.SendSMSReadRxTX	<N>1. Öffnen Sie SMS<N>2. Verbinden Sie Ihr Mobiltelefon mit Wi-Fi (2,4 oder 5 Ghz)*<N>3. Klicken Sie auf den Link <b>http://192.168.1.1/api/device<b>.<N>4. Bitte lesen Sie mir die <em>RX POWER<em> und <em>TX POWER<em> Werte vor.<N><N>Wenn RX < -21 dBm ist, ist nicht normal<N><N>* * Ja, selbst wenn die Box nicht mit Glasfaser und Internet verbunden ist, können Sie sich über Wi-Fi mit ihr verbinden und mit ihr kommunizieren (z.B.: gehen Sie in die Admin-Konsole oder wie hier, öffnen Sie die Seite für die grundlegende Diagnose).	Ich sende Ihnen eine SMS mit einem Link, auf den Sie klicken müssen, um Ihren Anschluss abzufragen und den Status Ihres Anschlusses an das Glasfasernetz zu erfahren.	customer/handclickingsmsrxtx_de	Senden SMS	Keine Template gesendet		
$flow.nointernet.fiberbox.NormalRxValues	<N>1. Öffnen Sie SMS<N>2. Verbinden Sie Ihr Mobiltelefon mit Wi-Fi (2,4 oder 5 Ghz)*<N>3. Klicken Sie auf den Link <b>http://192.168.1.1/api/device<b>.<N>4. Bitte lesen Sie mir die <em>RX POWER<em> und <em>TX POWER<em> Werte vor.<N><N>Wenn RX < -21 dBm ist, ist nicht normal<N><N>* * Ja, selbst wenn die Box nicht mit Glasfaser und Internet verbunden ist, können Sie sich über Wi-Fi mit ihr verbinden und mit ihr kommunizieren (z.B.: gehen Sie in die Admin-Konsole oder wie hier, öffnen Sie die Seite für die grundlegende Diagnose).	Liegen die Rx Power-Werte <em>auf der KundenBox<em> innerhalb der Standardnorm? (RX über -21dBm, TX über 4 dBm)	box/api_device	normal	abnormal	Keine Werte	
$flow.nointernet.vti.DoesFactoryResetSolve	Ich warne auch davor, dass dadurch Passwörter und andere Router-Einstellungen gelöscht werden.<N>Dann prüfe ich, ob die Box jetzt zugänglich ist.	Ein Zurücksetzen der Box auf Werkseinstellungen ist notwendig<N>Ich werde dies von unserem System aus tun.	vti/factory_reset_btn_de	Box Zugängliche	In VTI immer noch nicht zugänglich		https://qoof.salt.ch/de/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings#zweite-methode
$flow.nointernet.customer.DidJustMoved		Est-ce-que vous venez de déménager?<N>(et vous aviez Fiber dans un autre logement ?)	customer/move				
$flow.nointernet.fiberbox.BoxLedStatus	"Nach dem Neustart warten, bis die LED-Sequenz stabil ist.<N>Dann den Status jeder LED anwählen durch Drücken des Schaltknopfs (Radio-Button) darüber<N>Wenn die Power-LED rot/grün blinkt, bedeutet das, dass die Box gerade die Firmware aktualisiert; ein paar Minuten warten und sich vergewissern, dass der Kunde keine weiteren Änderungen an der Box vornimmt, bis die Aktualisierung abgeschlossen ist.<N><Q>Blink = LED blinkt<Q><N><N>Hier liegt der Fokus auf den ersten 3 LEDs (POWER, FIBER und WWW). Falls der Neustart nicht normal verläuft, ist auch der Status der anderen LEDs von Bedeutung (blinkend oder nicht)<N><N>Für LAN <Q>Normal<Q> = nur, wenn ein LAN-Kabel eingesteckt ist, sollte die LED aufleuchten und blinken und so anzeigen, dass Datenverkehr stattfindet"	Was ist der Status der LED auf der BOX?	box/led_status/all				
$flow.nointernet.vti._TroubleShootActivation	In VTI überprüfen, ob die Zahlung der Aktivierungsgebühr gebucht ist.<N><N>Prüfen, ob die Angaben zur OTO-ID angegeben und korrekt sind.<N><N>Prüfen, ob es sich nicht um einen <Q>Plug in use<Q>-Fall handelt.	Den Qoof-Troubleshooting-Prozess bei der Aktivierung befolgen					https://qoof.salt.ch/de/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dem Kunden mitteilen, dass mit dem Glasfaseranschluss alles richtig funktioniert					
$flow.nointernet.customer.ConnectionType	LAN oder WiFi	An was ist das Gerät des Kunden angeschlossen?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	"Überprüfung in VTI -> Kundenereignis-Protokolle und in SuperOffice -> Cases -> 6. Neues Glasfaserkabel (Sendung per Post).<N>Vom Kunden bestätigen lassen, dass er das neue Kabel per Post erhalten oder in einem Store geholt hat.<N><N>KLICKT <b>Kein <LQ>Kabel<RQ>-Ticket<b>, falls die Internetverbindung mit dem neuen Kabel funktioniert.<N><N><em>WARNUNG<em> Gib niemals eine falsche Ticketnummer ein!<N><N>Ausnahmefall:<N>Die Person ging zu einem Store, ohne uns vorher anzurufen, und der Store gab ihr ein Salt Kabel, ohne ein Ticket zu erstellen.<N>Nur in diesem Fall kannst du 9999 eingeben; du musst jedoch im Memo gut begründen, was passiert ist."	Wurde das Glasfaserkabel kürzlich ausgetauscht, <N>aber die Internetverbindung funktionierte trotzdem nicht?		Ja (SO-Ticket)	Keine <LQ>Kable<RQ> ticket	in einem Store (SO-Ticket)	
$flow.nointernet.so.tckets._WrongOTO	Ein Ticket [511] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230 V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>	Automatische Ticket-Erstellung [511] in SuperOffice 					
$flow.nointernet.fiberbox._RebootBox	(Das Stromkabel aus- und wieder einstecken).<N>Techniker des 2. und 3. Levels können sehen, ob der Kunde die Box wirklich neu gestartet hat. Daher ist es wichtig, dass ihr die richtige Antwort auswählt.	Die Fiber Box neu starten	box/reboot/reboot	Neustart GEMACHT	Neustart nicht möglich		https://qoof.salt.ch/de/knowledge/technical/modem_router/boot_led_sequence#startphase
$flow.nointernet.fiberbox._SpeedAndStability	Den Prozess Geschwindigkeit und Stabilität befolgen.	Ungewöhnliche RX-Werte?					https://qoof.salt.ch/de/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.FiberLedGreenStable		Wie leuchtet die Fiber-LED ?		Grün und stabil	Anders	Blinkt rot/grün	
$flow.nointernet.so._CreateTicketModemCNX	Ein Ticket [521] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>	Automatische Ticket-Erstellung [521] in SuperOffice 					
$flow.nointernet.so._InformTicketStatus	Die fehlenden Informationen im Ticket erfassen, falls angegeben.	Den Kunden über den Status des Tickets informieren	general/conversation				
$flow.nointernet.so.IsTicketOpened	Entweder technisches Ticket:<N><T>- TV and Video Services - Salt TV Problem <N><T>- Modem Connection<N><T>- Wifi / WLAN problem<N><T>- Box Swap (under condition)<N><T>- WWW LED OFF <N><N> Oder Ticket bezgl. Bestellung: <N><T>- Plug in Use info<N><T>- OTO Given by customer<N><T>- Order Status check request<N><T>- OTO - Wrong OTO connected<N><N>Oder Ticket zu sonstigen Anfragen:<N><T>- Umzug<N><T>- Kündigung<N><N>Es gibt folgende Ticket-Status: Raised / Pending customer / Pending other teams / Re-open / Pending future date.<N><N>Auch zu überprüfen in “VTI -> Kundenereignis-Protokolle” und S.O. -> Prüfen, ob ein Wrap-Up existiert zu kürzlich stattgefundenem Austausch mit dem Kunden.	In S. O. « Cases » und « Email » überprüfen, ob bereits ein Ticket zum selben Problem offen ist.	so/techticketopened	Recaller	Kein kürzliches Ticket		https://cs.salt.ch/scripts/ticket.fcgi?_sf=0&action=searchTable&table=person&_activeMenu=1
$flow.nointernet.vti.CheckContractorVTI	Den Kunden mit<N><T>-Rechnungskontonummer,<N><T>-Name,<N><T>- E-Mail-Adresse,<N><T>- usw.<N> suchen.<N><N>In VTI überprüfen, ob der geöffnete Vertrag dem Kunden entspricht.<N>Kopiert die ganze Seite mit den <em>Informationen zum Rechnungskonto<em> (CTRL+A, CTRL+C) per Copy-Paste hier hinein (CTRL + V). <N><N>Die VoIP-Nummer kopieren (CTRL + C) und ins Feld VoIP N° einfügen. Sicherstellen, dass die Person unter der angegebenen Kontaktnummer erreichbar ist. <Q>.<N>Ggf. eine andere Nummer eingeben.	Ist der Kunde im VTI eindeutig identifizierbar?	vti/copy_all	Home (b2c)	Nicht auffindbar	Office (b2b)	https://qoof.salt.ch/de/knowledge/admin/tools/search_customers_in_vti
$flow.nointernet.vti.ActivationDone	Ist die Bereitstellung (provisioning) in VTI abgeschlossen?	Ist der Kunde aktiv?	vti/provisioning-completed				https://qoof.salt.ch/de/knowledge/admin/order/comand_completed
$flow.nointernet.vti.IconStatusBoxManagement	In VTI > Angebotsverwaltung > Instrumententafel > Router<N><T>-<b>Refresh<b> (rechte Taste).<N><T>- WANMGT muss grün sein<N><T>- WANHSI muss grün sein	Ist der Router-Status (WANMGT, WANHSI) GRÜN?	flow/nointernet/vti/IconStatusBoxManagement-de	Grün	Rot		
$flow.nointernet.vti.IsBarred	"Internetdienste gesperrt durch Finance:<N><T>- VTI: Angebotsverwaltung --> Antriebssperre<N><N><b>Customer decision / Voip services & Voip outbound calls<b> - informiere die Kund:in oder hebe sie auf, nachdem du mit der Person gesprochen hast, die dafür die Genehmigung besitzt.<N><b>Collection decision<b> - bitte um Zahlung (Office - Kreditkarte, MBA, Twint; Home: MBA oder Twint)<N><b>Anti fraud decision<b> - bitte um Zahlung oder erstelle ein Credit Limit Ticket (3.4.2), wenn die Zahlung bereits getätigt wurde."	<b>Gibt es Sperrungen?<b><N>Ist die Kund:in oder der Anbieter gesperrt, werde ich diese jetzt aufheben und prüfen, ob das Problem gelöst wurde<N> und mit dem Troubleshooting fortfahren, wenn es weiterhin besteht.	vti/Databarred_en				https://qoof.salt.ch/fr/customer-process/subscriptions-cost/unblock_services/unblock_high_usage_services
$flow.nointernet.postLedChecks.IsSerialNumberCorrect	<N><T>1. Sich vor die Box stellen<N><T>2. Die Box umdrehen (Unterseite nach oben)<N><T>3. Beide Daumen auf den Deckel legen<N><T>4. Den Deckel nach vorne schieben<N><T>5. Den Deckel ganz entfernen<N><T>6. Die Seriennummer steht nach S/N:	Entspricht die Seriennummer auf der Box derjenigen in VTI (<b><BOXSERIAL><b>) ?	box/serialfind				
