FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.phone.ConnectToDECT	Wenn das Telefon über RJ-11 angeschlossen ist, bitte die Kund:in, auf DECT zu wechseln.<N>Das Telefon muss angeschlossen sein. Wenn dies nicht der Fall ist, können wir nicht mit dem Troubleshooting fortfahren.<N><N>Wenn der Kunde nicht zu DECT wechseln kann (sein Gerät unterstützt es nicht, oder der Kunde möchte es nicht versuchen), wird kein Ticket erstellt.<N>Informieren Sie den Kunden, dass eine Lösung darin bestehen kann, ein Gigaset E370HX-Gerät im nächsten Salt Store zu kaufen.	Versuchen Sie, Ihr Telefon per DECT zu verbinden.<N>Dies ist notwendig, damit es reibungslos funktioniert.		OK	Unter keinen Umständen!		https://qoof.salt.ch/fr/customer-process/configure/fix_telephony_setup/connect_a_dect_telephone
$flow.phone.HowIsDeviceConnected		Wie ist das Gerät mit der Fiber Box verbunden?	voip/dect_vs_rj11	DECT	RJ 11		https://qoof.salt.ch/fr/customer-process/configure/fix_telephony_setup/connect_a_dect_telephone
$flow.phone.InputDeviceNameAndBrand	<N><em>WICHTIG<em>Informieren Sie den Kunden, dass wir die beworbenen Funktionen und die Gesprächsqualität nur mit dem Gigaset E370HX-Gerät garantieren können.<N>Ein Update des Routers oder VOIP-Geräts könnte dazu geführt haben, dass die Funktionen nicht mehr funktionieren.<N>Wenn es vorher funktioniert hat, werden wir das Problem untersuchen, aber die einzige Lösung kann darin bestehen, das Gigaset im nächstgelegenen Salt Store zu kaufen.<N>Wenn es nie funktioniert hat, können wir das Problem nicht eskalieren, bis der Kunde einen Test mit dem Gigaset macht.	Hat der betroffene Dienst in der Vergangenheit mit <b>Salt Dienstleistungen<b> und Ihrem aktuellen Gerät funktioniert?<N>Wenn ja, Was ist die Marke und das Modell Ihres Geräts?					
$flow.phone.IsFNPAllGood	Siehe im CC Dashboard (klicke unten)	Wenn dies eine FNP-Anfrage ist, wurde sie ohne Fehler akzeptiert?	voip/fnp_cc_tab	Kein Fehler	FNP-Fehler		https://its.salt.ch/ccare/index.php?pn=root&mode=screens&id=158
$flow.phone.IsProvisionsingAllGood	Gehe als Erstes zu VTI --> Provisioning und kontrolliere, ob ein Fehler vorliegt. Liegt kein Fehler vor oder wurde der Fehler korrigiert, mache auch den nächsten Schritt:<N> Gehe zu: VTI - Angebotsverwaltung - Instrumententafel - Voice - TecRep info	Funktioniert Voice Provisioning richtig?	voip/tecrep_voip	Alles gut	Fehler		
$flow.phone.IsTheDeviceWorking	Überprüfe mit der Kund:in, ob<N><T>- die Basis mit einer Steckdose verbunden ist<N><T>- das Gerät sich auflädt, wenn es in die Basis gesteckt wird<N><T>- sie es mit einem anderen Gerät getestet hat	Prüfen wir, ob Ihr Gerät richtig funktioniert.	voip/gigaset_charging	Funktioniert	Funktioniert nicht		
$flow.phone.ListImpactedNumbers	Liste sie alle auf	Welche Nummern sind betroffen?					
$flow.phone.ProvideSamples	Ohne Beispiele wird es für die IT-Expert:in schwierig, die Ursache für das Problem zu finden.	Ich bräuchte noch ein paar Beispiele, damit unsere Haupt-IT-Abteilung dem nachgehen kann.					
$flow.phone.PurchaseANewPhone		Es scheint, als würde Ihr Telefon nicht richtig funktionieren.<N>Ich schlage vor, dass Sie in einen Salt Store gehen, um ein neues zu kaufen.					
$flow.phone.WhatIsthePhoneISsue		Welches Problem haben Sie mit Ihrem Telefon?					
$flow.phone.WhichCallsAreImpacted		Welche Anrufe sind betroffen?					
$flow.phone.WhicNumAreNotDisplayed		Welche Nummern werden nicht angezeigt?		Alle	Nur bestimmte		
$flow.tickets.VoipSoundQuality	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	VoIP Sound Quality Ticket					
$flow.tickets.VoipProvisioning	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	VoIP Provisioning Ticket					
$flow.tickets.VoipFNP	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	VoIP FNP Ticket					
$flow.tickets.VoipCalls	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	VoIP Calls Ticket					
$flow.tickets.VoipCallerID	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	VoIP Caller ID Ticket					
$flow.tickets.VoipCallDroped	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	VoIP Call Dropped Ticket					
$flow.tickets.VoipTicket	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	VoIP Ticket					
$flow.tickets.CreditCheckTicket	Stelle sicher, dass du alle Details aufzählst, die die Kund:in dir genannt hat. Du kannst unten die Zusammenfassung überprüfen und alle weiteren Informationen hinzufügen, die nicht vom Tool erfasst wurden.	Credit Limit Ticket					
$flow.phone.WasThereAnyCallFWD		Prüfen wir, ob eine unkonditionierte Rufumleitung besteht.	voip/call_fwd_en				
