FLAG	HEADER
$flow.all.fiberbox._WhereIsBoxPlaced.Placement	Placement
$flow.all.fiberbox._WhereIsBoxPlaced.Openspace	1. Open space
$flow.all.fiberbox._WhereIsBoxPlaced.Closedspace	2. Closed space
$flow.all.fiberbox._WhereIsBoxPlaced.Multimedia	3. Multimedia distributor
$flow.nointernet.fiberbox.BoxLedStatus.Off	Off
$flow.nointernet.fiberbox.BoxLedStatus.WhiteStable	White stable
$flow.nointernet.fiberbox.BoxLedStatus.WhiteBlink	White blinking
$flow.nointernet.fiberbox.BoxLedStatus.whiteLongBlink	White on then Off
$flow.nointernet.fiberbox.BoxLedStatus.Greenstable	Green stable
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink	Green blinking
$flow.nointernet.fiberbox.BoxLedStatus.RedBlink	Red blinking
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink30sRedstable3s	Green blinking 30 s, Red stable 3 s
$flow.nointernet.fiberbox.BoxLedStatus.Redstable	Red stable
$flow.nointernet.fiberbox.BoxLedStatus.Blink	blinking
$flow.nointernet.fiberbox.BoxLedStatus.BlueBlink	Blue blinking
$flow.nointernet.fiberbox.BoxLedStatus.Bluestable	Blue stable
$flow.nointernet.fiberbox.BoxLedStatus.Normal	Normal
$flow.nointernet.fiberbox.BoxLedStatus.Allgreen	All green
$flow.installation._EnsureCorrectPortPlug.PLUGEDPORT	Port number connected
$flow.installation.IsOTOidAligned.OTOIDonplugathome	OTO ID on the outlet at home
$flow.stability.IsAnyServiceImpactedForNormalUse.Servicenotusable	Service impacted
$flow.tv.sound.IsSameIssueWithOtherApps.Listotherapps	List of other applications
$flow.tv.sound.IsSameIssueWithOtherApps.Setup	List of equipment
$flow.nointernet.postLedChecks.IsSerialNumberCorrect.SerialNb	Serial number
$flow.vti.SerialVTI.SerialNb	Serial number
$flow.activation.WhereWasOrderDone.Storename	Salt Store name
$flow.swapcable._InputShiping.AdressStreet	Street
$flow.swapcable._InputShiping.AdressZip	Zip code
$flow.swapcable._InputShiping.AdressNbr	N°
$flow.swapcable._InputShiping.AdressCity	City
$flow.nointernet.fiberbox.NormalRxValues.BoxRX	Rx Power<N>On customer's Box
$flow.tickets.CustomerInstruction.Contactnumber	Contact number
$flow.tickets.CustomerInstruction.Contact email	Contact email
$flow.Intro.ISSUE	What is the issue you're facing?
$flow.Intro.internet	Internet doesn't work
$flow.Intro.tv	TV does not function well
$flow.Intro.order	What is the status of my order?
$flow.Intro.phone	The phone is not working
	
$flow.phone.WhatIsthePhoneISsue.ISSUE	What is the phone issue?
$flow.phone.WhatIsthePhoneISsue.no_calls	No calls.
$flow.phone.WhatIsthePhoneISsue.caller_id	Caller's ID (num) not displayed.
$flow.phone.WhatIsthePhoneISsue.drop_calls	Calls are droped.
$flow.phone.WhatIsthePhoneISsue.sound_quality	Sound of the calls is of bad quality.
	
$flow.phone.InputDeviceNameAndBrand.Device	Device
$flow.phone.InputDeviceNameAndBrand.Brand	Brand
	
$flow.phone.ProvideSamples.Expl_I_CountryCode	Ex. 1 country code
$flow.phone.ProvideSamples.Expl_II_CountryCode	Ex. 2 country code
$flow.phone.ProvideSamples.Expl_III_CountryCode	Ex. 3 country code
$flow.phone.ProvideSamples.Expl_I_PhoneNber	Ex. 1 Phone number
$flow.phone.ProvideSamples.Expl_II_PhoneNber	Ex. 2 Phone number
$flow.phone.ProvideSamples.Expl_III_PhoneNber	Ex. 3 Phone number
$flow.phone.ProvideSamples.Expl_I_Date	Ex. 1 Date
$flow.phone.ProvideSamples.Expl_II_Date	Ex. 2 Date
$flow.phone.ProvideSamples.Expl_III_Date	Ex. 3 Date
$flow.phone.ProvideSamples.Expl_I_Time	Ex. 1 Time
$flow.phone.ProvideSamples.Expl_II_Time	Ex. 2 Time
$flow.phone.ProvideSamples.Expl_III_Time	Ex. 3 Time
$flow.phone.WhichCallsAreImpacted.TYPE	Type of calls impacted
$flow.phone.WhichCallsAreImpacted.all	all calls
$flow.phone.WhichCallsAreImpacted.incomming	incoming calls only
$flow.phone.WhichCallsAreImpacted.outgoing	outgoing calls
$flow.phone.WhichCallsAreImpacted.Specific	Specific numbers (premium, international, one provider)
	
$flow.nointernet.vti.IsBarred.STATUS	Barring status
$flow.nointernet.vti.IsBarred.Nobarrings	No barrings
$flow.nointernet.vti.IsBarred.CustomerOperator	Customer/Operator
$flow.nointernet.vti.IsBarred.Fraud	Fraud
$flow.nointernet.vti.IsBarred.Collection	Collection
