FLAG	HEADER
$flow.all.fiberbox._WhereIsBoxPlaced.Placement	Placement
$flow.all.fiberbox._WhereIsBoxPlaced.Openspace	1. Espace ouvert
$flow.all.fiberbox._WhereIsBoxPlaced.Closedspace	2. Espace fermé
$flow.all.fiberbox._WhereIsBoxPlaced.Multimedia	3. Distributeur multimédia
$flow.nointernet.fiberbox.BoxLedStatus.Off	Éteinte
$flow.nointernet.fiberbox.BoxLedStatus.WhiteStable	Blanche stable
$flow.nointernet.fiberbox.BoxLedStatus.WhiteBlink	Blanche clignottante
$flow.nointernet.fiberbox.BoxLedStatus.whiteLongBlink	Blanche allumée puis éteinte
$flow.nointernet.fiberbox.BoxLedStatus.Greenstable	Verte stable
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink	Verte clignottante
$flow.nointernet.fiberbox.BoxLedStatus.RedBlink	Rouge clignottante
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink30sRedstable3s	Verte clignottante 30 s, Rouge stable 3 s
$flow.nointernet.fiberbox.BoxLedStatus.Redstable	Rouge stable
$flow.nointernet.fiberbox.BoxLedStatus.Blink	clignottante
$flow.nointernet.fiberbox.BoxLedStatus.BlueBlink	Bleue clignottante
$flow.nointernet.fiberbox.BoxLedStatus.Bluestable	Bleue stable
$flow.nointernet.fiberbox.BoxLedStatus.Normal	Normales
$flow.nointernet.fiberbox.BoxLedStatus.Allgreen	Toutes vertes
$flow.installation._EnsureCorrectPortPlug.PLUGEDPORT	N° Port branché
$flow.installation.IsOTOidAligned.OTOIDonplugathome	OTO ID sur la prise au domicile
$flow.stability.IsAnyServiceImpactedForNormalUse.Servicenotusable	Service impacté
$flow.tv.sound.IsSameIssueWithOtherApps.Listotherapps	Liste des autres applications
$flow.tv.sound.IsSameIssueWithOtherApps.Setup	Liste des équipements
$flow.nointernet.postLedChecks.IsSerialNumberCorrect.SerialNb	N° de série
$flow.vti.SerialVTI.SerialNb	N° de série
$flow.activation.WhereWasOrderDone.Storename	Nom du Salt store
$flow.swapcable._InputShiping.AdressStreet	Rue
$flow.swapcable._InputShiping.AdressZip	Code postal
$flow.swapcable._InputShiping.AdressNbr	N°
$flow.swapcable._InputShiping.AdressCity	Ville
$flow.nointernet.fiberbox.NormalRxValues.BoxRX	Rx Power<N>box du client
$flow.tickets.CustomerInstruction.Contactnumber	Numéro de contact
$flow.tickets.CustomerInstruction.Contact email	E-mail de contact
$flow.Intro.ISSUE	À quel souci faites-vous face ?
$flow.Intro.internet	Internet ne fonctionne pas
$flow.Intro.tv	La TV ne fonctionne pas correctement
$flow.Intro.order	Où en est ma commande?
$flow.Intro.phone	Le téléphone ne fonctionne pas.
$flow.phone.WhatIsthePhoneISsue.ISSUE	Quel est le problème avec le téléphone ?
$flow.phone.WhatIsthePhoneISsue.no_calls	Pas d'appels.
$flow.phone.WhatIsthePhoneISsue.caller_id	Le numéro de l'appelant ne s'affiche pas.
$flow.phone.WhatIsthePhoneISsue.drop_calls	Les appels sont coupés.
$flow.phone.WhatIsthePhoneISsue.sound_quality	Le son des conversations est de mauvaise qualité.
	
$flow.phone.InputDeviceNameAndBrand.Device	Appareil
$flow.phone.InputDeviceNameAndBrand.Brand	Marque
	
$flow.phone.ProvideSamples.Expl_I_CountryCode	Ex. 1 Code pays
$flow.phone.ProvideSamples.Expl_II_CountryCode	Ex. 2 Code pays
$flow.phone.ProvideSamples.Expl_III_CountryCode	Ex. 3 Code pays
$flow.phone.ProvideSamples.Expl_I_PhoneNber	Ex. 1 Numéro de téléphone
$flow.phone.ProvideSamples.Expl_II_PhoneNber	Ex. 2 Numéro de téléphone
$flow.phone.ProvideSamples.Expl_III_PhoneNber	Ex. 3 Numéro de téléphone
$flow.phone.ProvideSamples.Expl_I_Date	Ex. 1 Date
$flow.phone.ProvideSamples.Expl_II_Date	Ex. 2 Date
$flow.phone.ProvideSamples.Expl_III_Date	Ex. 3 Date
$flow.phone.ProvideSamples.Expl_I_Time	Ex. 1 Heure 
$flow.phone.ProvideSamples.Expl_II_Time	Ex. 2 Heure 
$flow.phone.ProvideSamples.Expl_III_Time	Ex. 3 Heure 
$flow.phone.WhichCallsAreImpacted.TYPE	Type d'appels impactés
$flow.phone.WhichCallsAreImpacted.all	tous les appels
$flow.phone.WhichCallsAreImpacted.incomming	appels entrants uniquement
$flow.phone.WhichCallsAreImpacted.outgoing	appels sortants
$flow.phone.WhichCallsAreImpacted.Specific	Numéros spécifiques (premium, international, opérateur unique)
	
$flow.nointernet.vti.IsBarred.STATUS	Statut de blocage
$flow.nointernet.vti.IsBarred.Nobarrings	Pas de blocages
$flow.nointernet.vti.IsBarred.CustomerOperator	Client/Opérateur
$flow.nointernet.vti.IsBarred.Fraud	Fraude
$flow.nointernet.vti.IsBarred.Collection	Collection
