FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.vti.SerialVTI		Je saisis ici le numéro de série de la box<N>Depuis VTI -> Dashboard Santé -> Fiber FLL	box/serial_vti				
$flow.nointernet.fiberbox.SendSMSReadRxTX	<N>1. Ouvrez l'SMS<N>2. Connectez votre téléphone mobile au Wi-Fi (2.4 ou 5 Ghz)*<N>3. Cliquez sur le lien <b>http://192.168.1.1/api/device<b>.<N>4. Lisez-moi, s'il vous plaît, les valeurs <em>RX POWER<em> et <em>TX POWER<em><N><N>Si RX est < -21 dBm, ce n'est pas normal<N><N>* Oui même si la box n'est pas connectée à la fibre et à l'internet, on peut s'y connecter en Wi-Fi et communiquer avec (p. ex.: aller dans la console d'admin, ou comme ici, ouvrir la page de diagnostique basique)	Je vais vous envoyer un SMS avec un lien sur lequel cliquer pour interroger votre Box et connaître l'état de connexion au réseau de fibre optique.	customer/handclickingsmsrxtx_fr	Envoyer SMS	Pas d'envoi de template		
$flow.nointernet.fiberbox.NormalRxValues	<N>1. Ouvrez l'SMS<N>2. Connectez votre téléphone mobile au Wi-Fi (2.4 ou 5 Ghz)*<N>3. Cliquez sur le lien <b>http://192.168.1.1/api/device<b>.<N>4. Lisez-moi, s'il vous plaît, les valeurs <em>RX POWER<em> et <em>TX POWER<em><N><N>Si RX est < -21 dBm, ce n'est pas normal<N><N>* Oui même si la box n'est pas connectée à la fibre et à l'internet, on peut s'y connecter en Wi-Fi et communiquer avec (p. ex : aller dans la console d'admin, ou comme ici, ouvrir la page de diagnostique basique)	Les valeurs Rx Power de la <em>box du client<em> sont dans la norme ? (RX au-dessus de -21dBm et TX de 4 dBm)	box/api_device	Oui	Non	Pas de valeurs	https://qoof.salt.ch/knowledge/technical/modem_router/checking_the_modem_status_via_admin_console?q=modem
$flow.nointernet.vti.DoesFactoryResetSolve	Je préviens également que cela va effacer les mots de passes et autres paramètres du routeur.<N>Ensuite je vérifie si la box est maintenant accessible.	Une remise aux réglages d'usine de la box est nécessaire<N>Je vais le faire depuis notre système.	vti/factory_reset_btn_fr	Box accessible	Toujour pas accessible dans VTI		https://qoof.salt.ch/fr/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings#deuxi%C3%A8me-m%C3%A9thode
$flow.nointernet.customer.DidJustMoved		Est-ce-que vous venez de déménager?<N>(et vous aviez Fiber dans un autre logement ?)	customer/move				
$flow.nointernet.fiberbox.BoxLedStatus	"Après le redémarrage, attendre que la séquence des LED se stabilise.<N>Puis, sélectionner le statut de chaque LED en appuyant sur le bouton radio au-dessus de la LED<N>Si la LED Power clignote en rouge/vert, cela signifie que la box est en train de mettre à jour son firmware ; attendre quelques minutes et s'assurer que le client ne manipule pas la box avant que la mise à jour ne soit terminée.<N><Q>Clignotement = Les LEDs clignotent<Q><N><N>Ici on met l'attention sur les 3 premières LEDs (POWER, FIBER and WWW). Si le redémarrage ne s'est pas déroulé de façon normale, alors le statut des autres LEDs sera important aussi (clignotant ou pas)<N><N>Pour LAN <Q>Normal<Q> = seulement si un câble LAN est branché, la LED devrait s'allumer et clignoter, reflétant ainsi le trafic de données en cours"	Quel est le statut des LED sur la BOX ?	box/led_status/all				
$flow.nointernet.vti._TroubleShootActivation	Vérifier dans VTI si le paiement des frais d'activation est enregistré.<N><N>Vérifier si l'OTO ID est (correctement) indiquée.<N><N>Vérifier s'il ne s'agit pas d'un cas de <Q>Plug in use<Q>.	Suivre la procédure de troubleshooting d'activation dans Qoof					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire au client que la connexion de fibre optique fonctionne correctement					
$flow.nointernet.customer.ConnectionType	LAN ou Wi-Fi	Sur quel type de réseau est connecté l'appareil du client ?		LAN	Wi-Fi		
$flow.nointernet.customer.FiberCableChanged	Vérifier dans VTI -> Vie du client et dans SuperOffice -> Cases -> 6. Nouveau câble de fibre optique (envoi par poste).<N>Demander au client de confirmer qu'il a bien reçu le câble par poste ou qu'il en a cherché un dans un Store.<N><N>CLIQUER <b>Pas de ticket <LQ>câble<RQ><b> si Internet a fonctionné après avoir essayé le nouveau câble.<N><N><em>ATTENTION<em> ne mets jamais de faux numéro de ticket !<N><N>Cas exceptionnel:<N>La personne est allée dans un store, sans nous appeler, et le Store lui a donné un câble Salt sans faire de ticket.<N>Dans ce cas uniquement tu peux saisir 9999 et tu devras bien justifier dans le mémo ce qui s'est passé.	Le câble de fibre optique a-t-il été changé récemment, <N>mais internet ne fonctionne toujours pas? 		Oui (ticket SO)	Pas de ticket <LQ>câble<RQ>	dans un Store (ticket SO)	
