FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.phone.ConnectToDECT	Si le téléphone est connecté via un câble RJ-11, demander au client de changer pour DECT.<N>Le téléphone doit être connecté sinon il est impossible de poursuivre le dépannage.<N><N>Si le client ne peut pas passer au DECT (son appareil ne le supporte pas, ou le client ne veut pas essayer), aucun ticket ne sera créé.<N>Informer le client qu'une solution peut être l'achat d'un appareil Gigaset E370HX dans le Salt Store le plus proche.	Passons la connexion de votre téléphone à DECT.<N>C'est obligatoire afin qu'il fonctionne correctement.		OK	Certainement pas !		https://qoof.salt.ch/fr/customer-process/configure/fix_telephony_setup/connect_a_dect_telephone
$flow.phone.HowIsDeviceConnected		Comment l'appareil est-il connecté à la Fiber Box ?	voip/dect_vs_rj11	DECT	RJ 11		https://qoof.salt.ch/fr/customer-process/configure/fix_telephony_setup/connect_a_dect_telephone
$flow.phone.InputDeviceNameAndBrand	<N><em>IMPORTANT<em>Informer le client que nous ne pouvons garantir les fonctionnalités annoncées et la qualité des appels qu'avec l'appareil Gigaset E370HX.<N>Une mise à jour du routeur ou de l'appareil VOIP pourrait avoir causé l'arrêt des fonctionnalités.<N>Si cela fonctionnait auparavant, nous examinerons le problème mais la seule solution peut être d'acheter le Gigaset dans le magasin Salt le plus proche.<N>Si cela n'a jamais fonctionné, nous ne pouvons pas escalader le problème, jusqu'à ce que le client fasse un test en utilisant le Gigaset.	Le service impacté a-t-il fonctionné avec <b>Services de Salt<b> et votre appareil actuel dans le passé ? <N>Si oui, Quelle est la marque et le modèle de votre appareil ?					
$flow.phone.IsFNPAllGood	Voir dans le CC Dashboard (cliquer ci-dessous)	S'il y a une demande de FNP, a-t-elle été acceptée sans erreur ?	voip/fnp_cc_tab	Aucune erreur	FNP avec erreur		https://its.salt.ch/ccare/index.php?pn=root&mode=screens&id=158
$flow.phone.IsProvisionsingAllGood	D'abord aller à VTI --> Provisionoing et vérifier s'il y a une erreur. Si aucune erreur n'est présente ou si l'erreur est corrigée, passer à l'étape suivante :<N> Aller à : VTI - Gestion de l'offre - Dashboard santé - Voice - TecRep infos	Le provisioning VOICE est-il en ordre ?	voip/tecrep_voip	Tout bon	FNP avec erreur		
$flow.phone.IsTheDeviceWorking	Vérifier avec le client si :<N><T>- La base est branchée sur le réseau électrique<N><T>- L'appareil se charge lorsqu'il est placé sur la base<N><T>- Essayer un autre appareil.	Vérifions si votre appareil fonctionne correctement.	voip/gigaset_charging	Fonctionne bien	Ne fonctionne pas		
$flow.phone.ListImpactedNumbers	Listez-les tous.	Quels sont les numéros impactés ?					
$flow.phone.ProvideSamples	Sans exemples, l'expert IT aurait des difficultés à comprendre la cause principale.	Ajoutons des exemples pour que notre service informatique central puisse effectuer des investigations.					
$flow.phone.PurchaseANewPhone		Il semble que votre téléphone ne fonctionne pas correctement.<N>Je vous suggère d'aller dans un Salt Store pour en acheter un nouveau.					
$flow.phone.WhatIsthePhoneISsue		Quel est le problème avec le téléphone ?					
$flow.phone.WhichCallsAreImpacted		Quels appels sont impactés ?					
$flow.phone.WhicNumAreNotDisplayed		Quels sont les numéros qui ne sont pas affichés ?		Tous	Uniquement spécifiques		
$flow.tickets.VoipSoundQuality	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Voip Sound Quality Ticket					
$flow.tickets.VoipProvisioning	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Voip Provisioning Ticket					
$flow.tickets.VoipFNP	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Voip FNP Ticket					
$flow.tickets.VoipCalls	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Voip Calls Ticket					
$flow.tickets.VoipCallerID	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Voip Caller ID Ticket					
$flow.tickets.VoipCallDroped	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Voip Call Droped Ticket					
$flow.tickets.VoipTicket	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Voip Ticket					
$flow.tickets.CreditCheckTicket	Assurez-vous d'ajouter tous les détails que le client a partagés avec vous. Vous pouvez consulter le résumé ci-dessous, puis ajouter toute information qui n'a pas été prise en compte par l'outil.	Credit Limit Ticket					
$flow.phone.WasThereAnyCallFWD		Vérifions s'il n'y a pas de transfert d'appel inconditionnel.	voip/call_fwd_en				
$flow.vti.CheckBalance	Si le solde n'est pas nul, demander de payer le montant dû, les services seront automatiquement réactivés.	Permettez-moi de vérifier si vous avez encore un solde impayé.	vti/billing/current_balance_en	Solde = 0.-	Solde ouvert > 0.-		
$flow.phone.IsPhoneGigasetE370HX		Utilisez-vous un Gigaset E370 HX ?	voip/gigaset
