FLAG	HEADER
$flow.all.fiberbox._WhereIsBoxPlaced.Placement	Posizionamento
$flow.all.fiberbox._WhereIsBoxPlaced.Openspace	1. Spazio aperto
$flow.all.fiberbox._WhereIsBoxPlaced.Closedspace	2. Spazio chiuso
$flow.all.fiberbox._WhereIsBoxPlaced.Multimedia	3. Armadio di distribuzione
$flow.nointernet.fiberbox.BoxLedStatus.Off	Spento
$flow.nointernet.fiberbox.BoxLedStatus.WhiteStable	Bianco stabile
$flow.nointernet.fiberbox.BoxLedStatus.WhiteBlink	Bianco lampeggiante
$flow.nointernet.fiberbox.BoxLedStatus.Greenstable	Verde stabile
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink	Verde lampeggiante
$flow.nointernet.fiberbox.BoxLedStatus.RedBlink	Rosso lampeggiante
$flow.nointernet.fiberbox.BoxLedStatus.GreenBlink30sRedstable3s	Verde lampeggiante 30 s, rosso stabile 3 s
$flow.nointernet.fiberbox.BoxLedStatus.Redstable	Rosso stabile
$flow.nointernet.fiberbox.BoxLedStatus.Blink	Lampeggiante
$flow.nointernet.fiberbox.BoxLedStatus.BlueBlink	Blu lampeggiante
$flow.nointernet.fiberbox.BoxLedStatus.Bluestable	Blu stabile
$flow.nointernet.fiberbox.BoxLedStatus.Normal	Normali
$flow.nointernet.fiberbox.BoxLedStatus.Allgreen	Tutti verdi
$flow.installation._EnsureCorrectPortPlug.PLUGEDPORT	Numero della porta collegata
$flow.installation.IsOTOidAligned.OTOIDonplugathome	OTO ID sulla presa a casa
$flow.stability.IsAnyServiceImpactedForNormalUse.Servicenotusable	Malfunzionamento del servizio
$flow.tv.sound.IsSameIssueWithOther.AppsListotherapps	Lista delle altre applicazioni
$flow.tv.sound.IsSameIssueWithOther.AppsSetup	Lista dei materiali
$flow.nointernet.postLedChecks.IsSerialNumberCorrect.SerialNb	Numero di serie
$flow.vti.SerialVTI.SerialNb	Numero di serie
$flow.activation.WhereWasOrderDone.Storename	Nome del Salt Store
$flow.swapcable._InputShiping.AdressStreet	Via
$flow.swapcable._InputShiping.AdressZip	Codice postale
$flow.swapcable._InputShiping.AdressNbr	N°
$flow.swapcable._InputShiping.AdressCity	Città
$flow.nointernet.fiberbox.NormalRxValues.BoxRX	Rx Power<N>sul box del cliente
$flow.tickets.CustomerInstruction.Contactnumber	Numero di contatto
$flow.tickets.CustomerInstruction.Contact email	E-mail di contatto
$flow.Intro.ISSUE	Qual è il problema riscontrato?
$flow.Intro.internet	Internet non funziona
$flow.Intro.tv	La TV non funziona correttamente
$flow.Intro.order	A che punto è il mio ordine?
$flow.Intro.phone	Il telefono non funziona
$flow.phone.WhatIsthePhoneISsue.ISSUE	Che problema ha riscontrato con il telefono?
$flow.phone.WhatIsthePhoneISsue.no_calls	Niente chiamate
$flow.phone.WhatIsthePhoneISsue.caller_id	Il numero del chiamante non è visualizzato
$flow.phone.WhatIsthePhoneISsue.drop_calls	Le chiamate sono interrotte
$flow.phone.WhatIsthePhoneISsue.sound_quality	La qualità audio delle conversazioni è pessima.
	
$flow.phone.InputDeviceNameAndBrand.Device	Dispositivo
$flow.phone.InputDeviceNameAndBrand.Brand	Marca
	
$flow.phone.ProvideSamples.Expl_I_CountryCode	Es. 1 Codice paese
$flow.phone.ProvideSamples.Expl_II_CountryCode	Es. 2 Codice paese
$flow.phone.ProvideSamples.Expl_III_CountryCode	Es. 3 Codice paese
$flow.phone.ProvideSamples.Expl_I_PhoneNber	Es. 1 Numero di telefono
$flow.phone.ProvideSamples.Expl_II_PhoneNber	Es. 2 Numero di telefono
$flow.phone.ProvideSamples.Expl_III_PhoneNber	Es. 3 Numero di telefono
$flow.phone.ProvideSamples.Expl_I_Date	Es. 1 Data
$flow.phone.ProvideSamples.Expl_II_Date	Es. 2 Data
$flow.phone.ProvideSamples.Expl_III_Date	Es. 3 Data
$flow.phone.ProvideSamples.Expl_I_Time	Es. 1 Ora
$flow.phone.ProvideSamples.Expl_II_Time	Es. 2 Ora
$flow.phone.ProvideSamples.Expl_III_Time	Es. 3 Ora
$flow.phone.WhichCallsAreImpacted.TYPE	Tipo di chiamata interessato
$flow.phone.WhichCallsAreImpacted.all	tutte le chiamate
$flow.phone.WhichCallsAreImpacted.incomming	solo le chiamate in arrivo
$flow.phone.WhichCallsAreImpacted.outgoing	Chiamate in uscita
$flow.phone.WhichCallsAreImpacted.Specific	Numeri specifici (premium, internazionali, operatore unico)
	
$flow.nointernet.vti.IsBarred.STATUS	Stato del blocco
$flow.nointernet.vti.IsBarred.Nobarrings	Nessun blocco
$flow.nointernet.vti.IsBarred.CustomerOperator	Cliente/Operatore
$flow.nointernet.vti.IsBarred.Fraud	Frode
$flow.nointernet.vti.IsBarred.Collection	Collection
