FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.vti.SerialVTI		Inserisco il numero di serie del box qui<N>Da VTI -> Healthcheck -> Fiber FLL	box/serial_vti				
$flow.nointernet.fiberbox.SendSMSReadRxTX	<N>1. Apra l'SMS<N>2. Colleghi il suo cellulare al Wi-Fi (2,4 o 5 Ghz)*<N>3. Clicchi sul link <b>http://192.168.1.1/api/device<b>.<N>4. Per favore, mi legga i valori di <em>RX POWER<em> e <em>TX POWER<em><N><N>Se RX < -21 dBm, è anomalo<N><N>* Sì, anche se il box non è collegato alla fibra e a internet, può collegarsi a esso tramite Wi-Fi e comunicare con esso (per esempio può andare sulla console amministratore, o come in questo caso, aprire la pagina di diagnostica di base).	Le invierò un SMS con un link da cliccare per interrogare la sua Box e scoprire lo stato di connessione alla rete in fibra ottica.	customer/handclickingsmsrxtx_it	Inviare SMS	Nessun template inviato		
$flow.nointernet.fiberbox.NormalRxValues	<N>1. Apra l'SMS<N>2. Colleghi il suo cellulare al Wi-Fi (2,4 o 5 Ghz)*<N>3. Clicchi sul link <b>http://192.168.1.1/api/device<b>.<N>4. Per favore, mi legga i valori di <em>RX POWER<em> e <em>TX POWER<em><N><N>Se RX < -21 dBm, è anomalo<N><N>* Sì, anche se il box non è collegato alla fibra e a internet, può collegarsi a esso tramite Wi-Fi e comunicare con esso (per esempio può andare sulla console amministratore, o come in questo caso, aprire la pagina di diagnostica di base).	I valori Rx Power sul <em>box del cliente<em> sono nella norma? (RX sopra -21dBmm, TX sopra 4 dBm)	box/api_device	normale	anormale	Nessun valore	
$flow.nointernet.vti.DoesFactoryResetSolve	La avverto anche che questo cancellerà le password e le altre impostazioni del router.<N>Poi controllerò se il box è accessibile ora.	È necessario effettuare un ripristino del box alle impostazioni di fabbrica<N>Lo farò dal nostro sistema.	vti/factory_reset_btn_it	Box accessibile	Ancora non accessibile su VTI		https://qoof.salt.ch/fr/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings#deuxi%C3%A8me-m%C3%A9thode
$flow.nointernet.customer.DidJustMoved		Per caso ha appena traslocato?<N> (e aveva il Fiber in un'altra casa?)	customer/move				
$flow.nointernet.fiberbox.BoxLedStatus	"Dopo il riavvio attendere che la sequenza dei LED si stabilizzi.<N>Selezionare quindi lo stato di ogni LED con il pulsanti radio sopra<N>Se il LED POWER lampeggia rosso/verde significa che il box sta aggiornando il firmware; attendere un paio di minuti e assicurarsi che il cliente non lo tocchi fino a quando l'aggiornamento non sarà finito.<N><Q>Lampeggiante = il LED lampeggia<Q><N><N>L'attenzione qui è sui primi 3 primi LED (POWER, FIBER e WWW). Se c'è un avvio anomalo allora lo stato degli altri LED sarà importante (controllare se lampeggiano o no )<N><N>Per LAN <Q>Normale<Q> = solo se un cavo LAN è collegato al LED dovrebbe accendersi e lampeggiare riflettendo il traffico dati."	Qual è lo stato dei LED sul BOX?	box/led_status/all				
$flow.nointernet.vti._TroubleShootActivation	Verificare su VTI se il pagamento dei costi di attivazione è stato registrato.<N><N>Verificare se i dettagli dell'ID OTO sono stati forniti e se sono corretti.<N><N>Verificare che non si tratti di un caso di <Q>Plug in use<Q>.	Seguire la procedura troubleshooting di attivazione su Qoof					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire al cliente che la connessione in fibra ottica funziona correttamente					
$flow.nointernet.customer.ConnectionType	LAN o Wi-Fi	Su che tipo di rete è collegato il dispositivo del cliente?		LAN	Wi-Fi		
$flow.nointernet.customer.FiberCableChanged	Verificare su VTI -> Eventi del cliente e in SuperOffice -> Cases -> 6. Nuovo cavo fibra (per posta).<N>Chiedere al cliente di confermare se ha ricevuto il nuovo cavo per posta o in un Store.<N><N>CLICCARE <b>Nessun ticket <LQ>cavo<RQ><b> se internet ha funzionato dopo aver provato il nuovo cavo.<N><N><em>ATTENZIONE<em> non inserire mai un numero di ticket falso!<N><N> Eccezione:<N>il cliente si è recato in un Salt Store senza chiamarci prima e il personale del negozio gli ha dato un cavo Salt senza aprire un ticket. <N>Solo in questo caso puoi inserire 9999 ,assicurandoti di specificare esattamente quello che è successo nel campo memo.	Il cavo della fibra ottica Salt è stato sostituito di recente,<N> ma internet ancora non funziona?		Sì (Ticket SO) 	Nessuno <LQ>cavo<RQ> ticket	in uno Store (Ticket SO)	
$flow.nointernet.so.tckets._WrongOTO	Un ticket [511] sarà generato automaticamente appena si passa alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua e-mail.<N><N>Informare il cliente che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- <em>il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) per tutta la durata del ticket.<em>	Creazione automatica del ticket [511] su SuperOffice					
$flow.nointernet.fiberbox._RebootBox	(scollegare e ricollegare il cavo di alimentazione)<N>I tecnici di 2° e 3° livello saranno in grado di vedere se il riavvio è stato realmente effettuato dal cliente. Quindi è importante selezionare la risposta corretta.	Riavviare il Fiber Box	box/reboot/reboot	Riavvio EFFETTUATO	Nessun riavvio		https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#d%C3%A9marrage
$flow.nointernet.fiberbox._SpeedAndStability	Seguire la procedura Speed e stabilità	Valori RX fuori dalla norma?					https://qoof.salt.ch/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.FiberLedGreenStable		Com'è il LED FIBER?		Verde e stabile	Rosso	Lampeggiante rosso/verde	
$flow.nointernet.so._CreateTicketModemCNX	Un ticket [521] sarà generato automaticamente appena si passa alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua e-mail.<N><N>Informare il cliente che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- <em>il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) per tutta la durata del ticket.<em>	Creazione automatica del ticket [521] su SuperOffice					
$flow.nointernet.so._InformTicketStatus	Inserire le informazioni mancanti se annotate nel ticket.	Informare il cliente sull'avanzamento del ticket.	general/conversation				
$flow.nointernet.so.IsTicketOpened	O ticket tecnico:<N><T>- Servizi TV e Video - problema con Salt TV <N><T>- Connessione del modem<N><T>- Problema di Wi-Fi / Wlan<N><T>- Box Swap (under condition)<N><T>- LED WWW spento<N><N>O ticket relativo all'ordine: <N><T>- Info Plug in Use<N><T>- OTO fornito dal cliente<N><T>- Richiesta di stato dell'ordine<N><T>- È collegato l'OTO sbagliato<N><N>O ticket per altre richieste:<N><T>- Trasloco<N><T>- Disdetta<N><N>Lo stato del ticket può essere: Raised / Pending customer / Pending other teams / Re-open / Pending future date<N><N>Verificare anche su VTI -> Eventi del cliente e SO -> se 'è un Wrap-Up per le interazioni recenti con il cliente.	Verificare in S.O. «Cases» e «Email» se c'è un ticket aperto relativo allo stesso problema	so/techticketopened	Recaller	Nessun ticket recente		https://cs.salt.ch/scripts/ticket.fcgi?_sf=0&action=searchTable&table=person&_activeMenu=1
$flow.nointernet.vti.CheckContractorVTI	Cercare il cliente tramite<N><T>- il numero di conto di fatturazione,<N><T>- il cognome,<N><T>- l'indirizzo e-mail,<N><T>- ecc.<N><N>Verificare su VTI che il contratto aperto corrisponda al cliente.<N>Copiare (CTRL + C) il numero VoIP e incollarlo (CTRL + V) nel campo VoIP N°.<N><N>Verificare che la persona sia raggiungibile al numero inserito in <Q>Contact Number<Q>.<N> Inserire un altro numero, se necessario.	Il cliente è chiaramente identificabile su VTI?	vti/copy_all	Home (b2c)	Introvabile	Office (b2b)	https://qoof.salt.ch/knowledge/admin/tools/search_customers_in_vti
$flow.nointernet.vti.ActivationDone	Provisioning completato su VTI?	Il cliente è attivato?	vti/provisioning-completed				https://qoof.salt.ch/knowledge/admin/order/comand_completed
$flow.nointernet.vti.IconStatusBoxManagement	Verificare su VTI > Gestione dell'abbonamento > Healthcheck > Router<N><T>- <b>Aggiorna<b> (tasto destro)<N><T>- WANMGT deve essere verde<N><T>- WANHSI deve essere verde	Lo stato del router (WANMGT, WANHSI) è VERDE?	flow/nointernet/vti/IconStatusBoxManagement-it	Verde	Rosso		
$flow.nointernet.vti.IsBarred	"Servizio internet bloccato da Finance:<N><T>- VTI -> Gestion del abbonamento --> Gestire il blocco<N><N><b>Customer decision / Voip services & Voip outbound calls > - informare il cliente o ritirarlo dopo aver parlato con la persona autorizzata, se richiesto<N><b>Collection decision<b> chiedere di effettuare un pagamento (Office - Carta di credito, MBA, TWINT ; Home – MBA o TWINT)<N><b>Anti fraud decision<b>- Chiedere al cliente di effettuare un pagamento o creare un ticket Credit Limit (3.4.2) se il pagamento è già stato effettuato."	<b>Ci sono dei blocchi? <b><N>Se ci sono dei blocchi cliente o operatore, li rimuoverò subito e verificherò se il problema è risolto<N>, nel caso contrario continuerò la ricerca del guasto.	vti/Databarred_en				
$flow.nointernet.postLedChecks.IsSerialNumberCorrect	<N><T>1. Mettere il Box davanti a sé<N><T>2. Capovolgerlo<N><T>3. Mettere i pollici sulla base rotonda<N><T>4. Spingere in avanti<N><T>5. Rimuovere completamente la base<N><T>6. Il numero di serie si trova dopo S/N: 	Il numero di serie del box che si trova a casa del cliente corrisponde a quello registrato su VTI (<b><BOXSERIAL><b>) ?	box/serialfind				
$flow.nointernet.postLedChecks._ReadRXValues	Assistere il cliente<N>Indicargli come trovare il valore RX.<N> Se i valori non possono essere ottenuti e se l'unico dispositivo in casa è l'Apple TV, inserire <b>aaa<b>.<N><N><em> Se il reindirizzamento alla pagina di login non funziona, è necessario digitarlo manualmente:<N>192.168.1.1/login.htm<em>	Inserire i valori RX (Console amministratore del Fiber Box a casa)	box/AdminRX-it	Valori RX o aaa	Sequenza di riavvio anomala	Wi-Fi Invisibile	https://youtube.com/watch?v=vB61nkVrqj0|https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#v%C3%A9rification-des-s%C3%A9quences
$flow.nointernet.so.tckets._SwapBox	Un ticket [523] sarà generato automaticamente appena si passa alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla e-mail.<N><N>Informare il cliente che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- <em>il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) per tutta la durata del ticket.	Creazione automatica del ticket [523] su SuperOffice					
$flow.nointernet.fiberbox.IsWWWLedGreen		Il LED WWW è verde?		Verde	Spento		https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#www-led
$flow.nointernet.fiberbox.FiberLedOff		Il LED FIBER è spento ?					
$flow.nointernet.customer.HasCustomerLEXnetworkIssue		Sto verificando che non ci siano incidenti con il distributore di fibre nel suo territorio - alias LEX. <N>Lex del cliente :<N><LEX> <N>OLT: <OLT>		Sì, dire che il problema è in fase di risoluzione			https://qoof.salt.ch/bug/services/services_major_incidents|https://qoof.salt.ch
$flow.nointernet.fiberbox.IsBoxReachable	Aggiornare lo stato del box in VTI >Manage router box > Update status<N>(Importante: da fare ogni volta!) altrimenti non vedrai lo stato attuale del box.)<N>Se il box non è accessibile, controlla l'ultima volta che è stato online. Chiedi al cliente se in quella data c'è stato un trasloco o dei lavori (riparazione/ristrutturazione, verniciatura, ecc.).	VTI, Gestione dell'abbonamento, Healthcheck <Q>Router<Q>, <em>(1) Update status<em> poi <em>(2) Visualizza la cronologia<em> e leggo lo stato della connessione :<N>il box è raggiungibile?	vti/IsBoxReachable_it				
$flow.nointernet.fiberbox.WhatColorBlink		LED FIBER lampeggia in rosso o in verde		Rosso	Verde		
$flow.nointernet.fiberbox.WhichWeirdBoot	# Power verde, Fiber rosso, nessun altro LED<N><T>- Power verde, Fiber rosso, <N><T>- nessun altro LED si accende <N><N># Tutti i LED LAN sono verdi, Power verde, Fiber rosso, nessun altro LED<N><T>- Power verde, Fiber rosso, <N><T>- nessun altro LED  si accende,<N><T>- Sul retro del box, tutti i LED verdi delle porte LAN sono accesi anche se nessun cavo LAN è collegato. <N><N># Tutti i LED per un secondo, Power verde, Fiber rosso <N><T>- tutti i LED per un secondo<N><T>- Power verde, nessun altro LED si avvia nei primi 90 secondi dopo essere stato acceso<N><N># Non stop Reboot<N> nessuna periferica USB collegata e il box si avvia di continuo: <N><T>- Power verde, Fiber rosso <N><T>- Tutti i LED per un secondo <N><T>- Ancora e ancora..	Di quale avvio anomalo si tratta?					
$flow.nointernet.vti.IsWishDatePassed	La data desiderata (wish date) può essere trovata in :<N>Eventi del cliente > Riga <Q>Subscription<Q> <N><N>se la data desiderata è già trascorsa, il secondo livello dovrà indagare. Se la data desiderata non trascorsa, comunica al cliente la connessione sarà effettuata alla data desiderata.	In VTI, la wish date è già superata?	vti/whishdate				
$flow.nointernet.vti._SoOrderNotComplete	Un ticket verrà generato automaticamente appena si passa alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua e-mail.<N><N><N>Informare il cliente che:<N><T>- un ticket tecnico verrà inoltrato al nostro ufficio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T> - <em>il box deve essere sempre alimentato (230V) e collegato (SFP, Fiber, OTO) per tutta la durata del ticket.<em>	Creazione automatica del ticket [414] su C55SuperOffice					
