FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.phone.ConnectToDECT	Se il telefono è collegato tramite un cavo RJ-11, chiedi al cliente di utilizzare il DECT.<N>Il telefono deve essere collegato, altrimenti non sarà possibile proseguire con la risoluzione del problema.<N><N>Se il cliente non può passare al DECT (il suo dispositivo non lo supporta, o il cliente non vuole provarci), non verrà creato alcun ticket.<N>Informare il cliente che una soluzione può essere l'acquisto di un dispositivo Gigaset E370HX presso il Salt Store più vicino.	Modifichiamo la connessione del suo telefono e impostiamola su DECT.<N>È indispensabile per il corretto funzionamento del telefono.		OK	Assolutamente no!		https://qoof.salt.ch/fr/customer-process/configure/fix_telephony_setup/connect_a_dect_telephone
$flow.phone.HowIsDeviceConnected		In che modo il dispositivo è collegato al Fiber Box?	voip/dect_vs_rj11	DECT	RJ 11		https://qoof.salt.ch/fr/customer-process/configure/fix_telephony_setup/connect_a_dect_telephone
$flow.phone.InputDeviceNameAndBrand	<N><em>IMPORTANTE<em>Informare il cliente che possiamo garantire le funzionalità e la qualità delle chiamate pubblicizzate solo con il dispositivo Gigaset E370HX.<N>Un aggiornamento del router o del dispositivo VOIP potrebbe aver causato l'interruzione del funzionamento delle funzionalità.<N>Se prima funzionava, indagheremo sul problema, ma l'unica soluzione potrebbe essere l'acquisto di Gigaset nel negozio Salt più vicino.<N>Se non ha mai funzionato, non possiamo escalare il problema, fino a quando il cliente non effettua un test utilizzando Gigaset.	Il servizio impattato ha funzionato con il <b>Servizi di Salt<b> e suo attuale dispositivo in passato? <N>Se sì, Può dirmi la marca e il modello del suo dispositivo?					
$flow.phone.IsFNPAllGood	Vedi nel CC Dashboard (clicca qui sotto)	Se c'è una richiesta di FNP, è stata accettata senza errori?	voip/fnp_cc_tab	Nessun errore	FNP con errore		https://its.salt.ch/ccare/index.php?pn=root&mode=screens&id=158
$flow.phone.IsProvisionsingAllGood	Prima vai a VTI --> Ordres de provisioning e controlla se c’è un errore. Se non c’è nessun errore o se l’errore è stato corretto, passa allo step successivo: <N> Vai su: Gestione dell’abbonamento - Healthcheck - Voice - TecRep info	Il provisioning VOICE è a posto?	voip/tecrep_voip	Tutto a posto	FNP con errore		
$flow.phone.IsTheDeviceWorking	Controlla con il cliente se: N><T>- La base è collegata alla presa elettrica<N><T>- Il dispositivo si ricarica quando è posizionato sulla base<N><T>- Provare con un altro dispositivo.	Controlliamo se il suo dispositivo funziona correttamente.	voip/gigaset_charging	Funziona correttamente	Non funziona		
$flow.phone.ListImpactedNumbers	Elencali tutti.	Quali sono i numeri interessati?					
$flow.phone.ProvideSamples	Senza esempi il tecnico IT non riuscirà a individuare la causa principale.	Aggiungiamo alcuni esempi affinché il nostro dipartimento IT centrale possa svolgere delle indagini.					
$flow.phone.PurchaseANewPhone		Sembra che il suo telefono non funzioni correttamente.<N>Le suggerisco di recarsi in un Salt Store per acquistarne uno nuovo.					
$flow.phone.WhatIsthePhoneISsue		Qual è il problema del telefono?					
$flow.phone.WhichCallsAreImpacted		Ci sono problemi con le chiamate?					
$flow.phone.WhicNumAreNotDisplayed		Quali sono i numeri che non vengono visualizzati?		Tutti	Solo numeri specifici		
$flow.tickets.VoipSoundQuality	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Voip Sound Quality Ticket					
$flow.tickets.VoipProvisioning	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Voip Provisioning Ticket					
$flow.tickets.VoipFNP	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Voip FNP Ticket					
$flow.tickets.VoipCalls	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Voip Calls Ticket					
$flow.tickets.VoipCallerID	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Voip Caller ID Ticket					
$flow.tickets.VoipCallDroped	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Voip Call Droped Ticket					
$flow.tickets.VoipTicket	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Voip Ticket					
$flow.tickets.CreditCheckTicket	Assicurati di aggiungere tutti i dettagli che il cliente ha condiviso con te. Puoi visualizzare il riepilogo qui sotto e poi aggiungere tutte le informazioni che non sono state rilevate dal software.	Credit Limit Ticket					
$flow.phone.WasThereAnyCallFWD		Controlliamo che non ci sia un trasferimento di chiamata incondizionato.	voip/call_fwd_en				
$flow.vti.CheckBalance	Se il saldo non è pari a zero, chiedi di pagare l'importo dovuto, i servizi saranno automaticamente riattivati.	Mi permetta di controllare se c’è ancora un importo non pagato.	vti/billing/current_balance_en	Saldo = 0.-	Saldo aperto > 0.-		
$flow.phone.IsPhoneGigasetE370HX		Sta utilizzando un Gigaset E370 HX?	voip/gigaset
